id,title,manufacturer,price
0,clickart 950 000 premier image pack ( dvd-rom ),broderbund,
1,noah 's ark activity center ( jewel case ages 3-8 ),victory multimedia,
2,peachtree by sage premium accounting for nonprofits 2007,sage software,599.99
3,singing coach unlimited,carry-a-tune technologies,99.99
4,adobe after effects professional 6.5 upgrade from standard to professional,adobe,499.99
5,mia 's math adventure : just in time,kutoka,19.99
6,paper art : gift wrapping,arc-media-inc .,
7,spy sweeper spanish,webroot software,29.95
8,omnioutliner professional 3.0,csdc,69.95
9,upg sgms 1000 incremental node,sonic-systems-inc .,
10,the human body,topics entertainment,19.99
11,school zone pencil-pal software big phonics ( cd-rom & book ),school-zone-interactive,
12,millie 's math house ages 3-7 ( win/mac ),ibm - ( aap-misc-parts ),
13,world book encyclopedia 2006,topics entertainment,19.99
14,musicalis guitar workshop,global-software-publishing,9.99
15,the printshop 20 professional publisher,broderbund,69.99
16,data protection suite,stomp inc,69.99
17,kids power fun for girls,topics entertainment,19.99
18,adobe premiere pro cs3 upgrade,adobe,299.0
19,i copy dvds 2 professional edition,me-too-software,69.99
20,gen-x media made easy vol . 3,gen-x,49.95
21,family tree maker 11.2 collector 's edition,encore,109.95
22,adobe fireworks cs3 [ mac ],adobe,299.0
23,dinosaurs,topics entertainment,19.99
24,instant home design 3.0 [ lb ],topics entertainment,19.99
25,x-oom internet movies 2,x-oom,
26,form workshop 1200,valusoft,29.99
27,the print shop pro publisher 22 deluxe [ dvd ],encore,99.99
28,stomp inc recover lost data 2005,stomp inc,39.95
29,my first bible stories,dorling-kindersley-multimedia - ( dk ),29.95
30,the big mix ( mac ),aladdin,59.99
31,x-oom movie clone 3 gold,x-oom,
32,the print shop 22 deluxe,encore,49.99
33,imsi turbocad designer v. 11,imsi,39.99
34,lavasoft ad-aware plus edition,tri synergy,29.99
35,clip art and more 250 000 ( jewel case ),imsi design,
36,instant immersion language lab deluxe edition,topics entertainment,
37,elementary school success deluxe 2006,topics entertainment,49.99
38,national geographic presents : redshift planetarium,topics entertainment,29.99
39,math success deluxe 2006,topics entertainment,49.99
40,national geographic presents : forces of nature,topics entertainment,29.99
41,reference success deluxe 2006,topics entertainment,49.95
42,clifford the big red dog thinking adventures,scholastic,9.99
43,mastercook deluxe low carb,valusoft,14.99
44,instant home design ( jewel case ),topics entertainment,9.99
45,boomerang webshop platinum,boomerang,
46,jumpstart learning games phonics ( pc & mac ),knowledge adventure,9.99
47,kids power fun for little ones,topics entertainment,19.99
48,museums of the world,topics entertainment,19.99
49,matchbox cross-town heroes,thq,19.99
50,studyworks ! teaching pro : middle school math & science ( win/mac ),global-software-publishing,29.99
51,trudy 's time and place house ages 3-6,ibm,
52,personal image manager,smith-micro-software,29.99
53,stomp inc drive washer,stomp inc,
54,movies on psp,x-oom,
55,kids power fun for kids,topics entertainment,19.99
56,custom landdesigner 3d design 7.0,sierra on-line,
57,freddi fish 2 : the haunted schoolhouse,humongous entertainment,29.95
58,mom standard ops mgmt lic 2005 english mlp 5 oml,microsoft,
59,eastwest bsendorfer 290 grand piano virtual instrument,eastwest,199.95
60,midway arcade treasures ( jewel case ),encore software,9.99
61,snap ! 10 000 drink recipies ( jewel case ),topics entertainment,4.99
62,mac os x server v10 .4.7 10-client,apple,499.0
63,epson storyteller photo book creator 8 x 10 ( 20 pages ),epson,29.99
64,age of mythology ( mac ),macsoft,19.99
65,emedia intermediate guitar method os x,emedia,59.99
66,ca internet security suite 2007 3 user,computer associates,69.95
67,kaplan sat/act/psat express,topics entertainment,9.99
68,passwords plus 1.0,dataviz,29.99
69,emedia essential bass guitar,emedia,19.95
70,scratches : directors cut,got game,19.99
71,x3 : reunion virtual programming ltd.,csdc,39.95
72,write brothers dramatica pro win/mac,write brothers,269.99
73,emedia bass method win/mac,emedia,59.99
74,microsoft licenses project svr sa govt ( h2200301 ),microsoft licenses,3601.4
75,total training for adobe creative suite 3 : design premium bundle,total training,299.99
76,everquest : titanium,sony-creative-software,19.95
77,emc retrospect 7.5 professional for windows upgrade,dantz,
78,iriscard pro business card scanner,iris,199.99
79,computrace lojack for laptops 4 year subscription,absolute software,119.99
80,microsoft office frontpage 2003 academic version windows ),microsoft,159.98
81,warlords 3 ( jewel case ),red-orb-entertainment,
82,autocad 2007 courseware customizing the interface,autodesk psg,47.95
83,tournament poker 2005,eagle games,20.99
84,listen for ipod magnetic time,sos-aggregation-company,39.99
85,atari arcade classics ( mac ),macsoft,19.99
86,my sim aquarium,viva media,19.99
87,instant immersion spanish ( audio book ),topics entertainment,
88,cisco security server agent for windows and solaris license 100 agents win solaris csa-b100-srvr-k9 ),cisco-systems-enterprise,
89,photoshop elements 5 and premiere elements 3 bundle win minibox ( 29180248 ),adobe,242.62
90,buzby breakin ' all the rules hermie and friends,digital praise,19.99
91,instant immersion french 2.0,topics entertainment,29.99
92,instant play electric guitar deluxe,topics entertainment,39.99
93,foreign policy & reform ( win/mac ) ( jewel case ),fogware publishing,9.99
94,microsoft licenses win svr 2003 ext conn lic ( r3900292 ),microsoft licenses,3371.85
95,quickbooks pos : pro multistore 6.0,intuit inc.,1399.95
96,encyclopedia britannica deluxe 2008 win/mac,avanquest,29.95
97,cook 'n vegetarian,dvo enterprises,19.99
98,hidden expedition : titanic,activision,19.99
99,crystal reports xi professional edition,business objects,495.0
100,sierra hallmark card studio special edition windows ),nova development,
101,crusader kings,atari,19.99
102,microsoft licenses exch . srvr extrn conn sa eng ( 39400416 ),microsoft licenses,42166.22
103,watchguard serverlock manager ( 100 servers ),watchguard-technologies-inc,14995.0
104,master server-upg,novastor corporation,
105,tlc dr. seuss reading learning system 2008,encore,19.99
106,oxford spanish dictionary,oxford-university-press,19.95
107,pantone reference library,pantone inc.,1623.06
108,procurve vpn client software unlimited client licenses,hewlett packard,
109,microsoft licenses sps extrnlconnnonemplyenglands c ( h3200034 ),microsoft licenses,101515.55
110,microspot interiors,microspot ltd.,99.95
111,adobe acrobat distiller svr v6-cd linux u/u 42050142 ),adobe systems,
112,gods : lands of infinity special edition,strategy first,29.99
113,icopydvds2 ultra by digital wunders,global-marketing-partners,89.99
114,hallmark blank greeting cards half-fold matte premium 20 count,nova development,12.99
115,sea scene : living underwater worlds ( jewel case ),valusoft,9.99
116,hp storageworks secure path for windows workgroup edition v. 4.0 c license 213076-b26 ),hewlett packard,
117,equilibrium debabelizer pro 6.0 1 user,equilibrium,599.99
118,autodesk discreet combustion 4 windows ),autodesk,
119,reel deal casino quest,phantom efx,19.99
120,microsoft licenses word mac 10.0 eng govt ( d4800369 ),microsoft licenses,349.83
121,1pk internet sec ste 2007 oem,ca oem,
122,diskeeper 2007 professional single lic pack,diskeeper corporation,79.21
123,instant immersion japanese ( audio book ),topics entertainment,
124,world of warcraft 60 day pre-paid time card,blizzard entertainment,29.99
125,smart steps 4th grade,dorling-kindersley-multimedia - ( dk ),29.95
126,textbridge pro 11,nuance-communications-inc .,79.99
127,emedia rock guitar method,emedia,39.99
128,home bartending 101 shooters,arc-media-inc .,19.95
129,jumpstart reading with karaoke,knowledge adventure,29.99
130,iremember digital scrapbooking 2.0,intriguing development,39.95
131,learn2 training for microsoft powerpoint,topics-entertainment-software - ( consignment ),9.99
132,adobe acrobat distiller svr v6-cd sun 100u 42050106 ),adobe,9104.19
133,tomb raider : legend,eidos interactive,19.99
134,upgrade delphi 2006 pro named fr delphi v3-2005 pro cd,borland international,
135,backup exec 10d win adv disk v10 .1 lic only ( e180518 ),symantec corporation .,983.34
136,netmanage upg rumba unix-hp edition level 902453-007-c ),netmanage,
137,crystal reports 11 professional full product french,business objects,909.66
138,adobe illustrator cs3 upgrade from freehand [ mac ],adobe,199.0
139,microsoft powerpoint 2004 ( mac ),microsoft,229.99
140,money premium 2007 win32 eng na mini box us only cd,microsoft,118.46
141,dora the explorer : dora 's world adventures,activision,19.99
142,microsoft windows small business server cal 2003 license pack 20 client addpack device,microsoft software,
143,adobe after effects professional 7.0,adobe,999.0
144,procurve mobility manager 1.0 is a plug-in module for procurve manager plus 2.0,hewlett packard,
145,hp sp linux we 50 lic/cd 3.0 c t3586a ),hewlett-packard - ( consumables ),
146,adobe photoshop cs3 extended [ mac ],adobe,999.0
147,adobe indesign cs3 [ mac ],adobe,699.0
148,intervideo dvd copy 5 platinum,corel,49.99
149,adobe photoshop elements 5.0 / premier elements 3.0 [ lb ],adobe,149.99
150,world of rainbow fish,global-software-publishing,19.99
151,microsoft office small business 2007,microsoft software,735.33
152,adobe audition 2.0,adobe,349.0
153,quickbooks credit card processing kit 3.0,intuit,39.95
154,instant immersion italian 2.0,topics entertainment,29.99
155,instant immersion 33 languages,topics entertainment,49.99
156,the printshop 20,broderbund,29.99
157,sibelius 5 educational edition,sibelius-software-ltd .,329.0
158,weekly reader preparing for kindergarten,fogware publishing,19.99
159,my maillist & addressbook,mysoftware company,19.95
160,sibelius 5 professional edition,sibelius-software-ltd .,599.0
161,fisher-price rescue heroes : lava landslide,knowledge adventure,
162,virusbarrier x4 10.4 for mac-10 users,intego,329.95
163,family tree maker version 16 deluxe,encore,69.95
164,instant architect design suite,imsi design,29.99
165,axis network camera 213 ptz digital video camera 0220-004 ),axis-communication-inc .,
166,norton antivirus 2007,symantec,39.99
167,f-secure internet security 2007 3 pcs,global-marketing-partners,79.99
168,poetry fiction and drama ( win/mac ) ( jewel case ),fogware publishing,9.99
169,quicken 2007 premier,intuit,79.95
170,route 66 mobile 7 usa/cdn for windows mobile 5,csdc,149.0
171,adobe premiere pro 2.0,adobe,849.0
172,geometry ( win/mac ) ( jewel case ),fogware publishing,9.99
173,reader rabbit preschool,the-learning-company,29.99
174,cross stitch design studio ( jewel case ),m-and-r-technologies,9.99
175,adobe after effects 7.0 professional ( mac ),adobe,999.0
176,transfer my dvd,avanquest,29.95
177,tlc zoombinis 3rd grade lrng sys 2007 sb cs by riverdeep 10548 ),encore-software-inc,
178,portfolio media kit be syst recovery 7.0 win small business ed,symantec,50.0
179,mcafee internet security suite 2007 3 users,mcafee,89.99
180,jumpstart advanced 1st grade v2 .0,knowledge adventure,19.99
181,microsoft office & windows training,topics entertainment,29.99
182,middle school success deluxe 2008,topics entertainment,49.99
183,adobe creative suite cs3 design standard upsell [ mac ],adobe,899.0
184,pc vegas dvd,sony-pictures-home-entertainment,899.99
185,sony vegas 6 + dvd [ old version ],sony-pictures-digital-entertainment,899.95
186,the universe ( win/mac ) ( jewel case ),fogware publishing,9.99
187,zonealarm internet security suite,zone labs,49.99
188,ringtone media studio 2,laplink,19.95
189,print workshop 2007,valusoft,19.99
190,perfect attorney premium,cosmi corporation,39.99
191,adventure workshop 1st-3rd grade 8th edition,encore,19.99
192,fun for kids : preschool kindergarten featuring disney,topics entertainment,29.99
193,national geographic photo gallery ( jewel case ),topics entertainment,9.99
194,sony psp media manager,sony-computer-entertainment,24.99
195,adobe premiere elements 3.0 [ lb ],adobe,99.99
196,english literature basics ( win/mac ) ( jewel case ),fogware publishing,9.99
197,riverdeep arthur 's kindergarten,riverdeep,
198,jumpstart advanced 3rd grade v2 .0,knowledge adventure,19.99
199,tlc arthur 's kindergarten learning system 2008,encore,19.99
200,cosmi talking math & more for kids ( windows ),cosmi,
201,microsoft powerpoint 2004 upgrade ( mac ),microsoft,109.99
202,readiris pro 11 corporate edition,iris inc.,399.99
203,magellan mapsend lakes ( usa south ),magellan,114.66
204,mcafee virusscan plus 2007,mcafee,39.99
205,reel deal casino championship edition,phantom efx,19.99
206,printmaster gold v 17.0,nova development,19.95
207,pc cillin internet sec 2007 lics large box 3u,trend micro,49.95
208,aquarium 3-in-one collection ( win/mac ),encore software,19.99
209,cute ftp,tri synergy,39.99
210,kaspersky anti-virus 6.0,kaspersky lab,59.95
211,restricted area,whiptail,19.99
212,adobe production studio premium,adobe,1699.0
213,merriam-webster 's dictionary ( win/mac ) ( jewel case ),fogware publishing,9.99
214,instant immersion japanese 2.0,topics entertainment,19.99
215,jumpstart advanced 2nd grade v2 .0,knowledge adventure,19.99
216,world history ( win/mac ) ( jewel case ),fogware publishing,9.99
217,quickbooks premier non-profit edition 2005,intuit inc.,499.95
218,cosmi rom07524 print perfect business cards dvd,cosmi,
219,podmaxx '07,bling,29.99
220,adobe creative suite cs3 web premium upsell [ mac ],adobe,1399.0
221,human body 360,megasystems,29.99
222,web radio recorder,magix entertainment,
223,student home learning system for pc/mac,fogware publishing,139.99
224,3mds network operations manager diy annual subscptn 101 500u,3m,
225,model web publisher 3.5.2 .,computer-associates-international,
226,microsoft licenses word olp c ( 05903871 ),microsoft licenses,205.73
227,ca arcserve bkup protection suite exch r11 .5 upgrade prod only,computer associates,
228,the guild 2 pirates of the seas,dreamcatcher interactive,29.99
229,microsoft windows server 2003 client additional license for devices 5 pack,microsoft,209.0
230,mediapilot kit,susteen,39.95
231,upgrade pitstop server 3.5 1u win 2k/xp & mac os 10.2.8,enfocus software,499.0
232,sudoku puzzle addict : unlimited edition,global-software-publ-na,
233,aircraft power pack for ms flight simulator,red mile,29.99
234,winway resume deluxe 11.0 network 10,nova development,
235,sony acid music studio,sony-pictures-digital-entertainment,69.99
236,microsoft licenses biztalk hipaa std . sa only ( u0200024 ),microsoft licenses,4215.77
237,jumpstart 1st grade,knowledge adventure,
238,instant landscaping 3.0 [ lb ],topics entertainment,19.99
239,topics presents : ancient civilizations ( 4 cd set ),topics entertainment,29.99
240,simple movie maker,topics entertainment,19.99
241,instant play electric guitar ( jewel box ),topics entertainment,6.99
242,boomerang webpage designer gold,boomerang,
243,x-oom mp3 radio recorder windows ),x-oom,
244,adobe after effects cs3,adobe,999.0
245,phonics success deluxe 2006 ( large box ),topics entertainment,49.99
246,land before time : preschool,brighter-minds-media-inc .,9.99
247,brainfood games cranium collection 2006,encore software,19.99
248,clickart fonts ( 2006 ) by encore,encore software,19.99
249,national geographic presents : redshift 5 planetarium software,topics entertainment,39.99
250,stationery design studio,summit software,19.99
251,anti-spyware 3.0 win normal 1u new,trend micro,48.91
252,snap ! 8 player poker 5 pack,topics entertainment,29.06
253,alien disco safari,encore,19.99
254,emc retrospect 7.5 svr 1-client windows,dantz,249.0
255,kaplan sat/act/psat platinum 2007 win/mac,topics entertainment,49.99
256,ae painter v9 win/mac box,corel corp,166.19
257,adobe creative suite cs3 web standard upgrade [ mac ],adobe,399.0
258,treasure mathstorm,the-learning-company,29.99
259,ae mappoint 2006 cd,microsoft corp,49.95
260,photoshop elements 4 mac retail eng 1u ( 19230169 ),adobe,145.39
261,pro photo essentials plug in suite & iview mediapro 3,onone software,499.95
262,mindjet mindmanager 7 mac single license,mindjet,129.0
263,sound studio 3 : record edit add effects to audio ( mac ),freeverse software,79.99
264,jumpstart world 1st grade,knowledge adventure,19.99
265,art explosion t-shirt factory deluxe 3.0,nova development,29.99
266,adobe premiere elements 3.0,adobe,161.73
267,on hand spanish 1-2-3 windows ),on-hand-software,9.99
268,pcanywhere 11.0 host only cd-rom xp 98 nt w2k me,symantec,
269,crystal reports 11 reporting essentials trng cbt,business objects,199.99
270,star wars battlefront ( mac ),aspyr media,39.99
271,flyboys squadron mac,ientertainment,29.99
272,microsoft visual studio professional 2005 upgrade,microsoft software,549.0
273,hollywood volume 1,yamaha,31.95
274,webobjects 5.2,apple,699.95
275,serious magic ultra2 master sets library 2 windows ),serious magic,276.5
276,microsoft windows vista business 32-bit for system builders,microsoft,179.99
277,microsoft data analyzer 2002,microsoft,179.0
278,mavis beacon typing 17 deluxe by broderbund,encore software,39.99
279,symantec pcanywhere 12.0 host only,symantec,169.65
280,the printshop business card maker ( jewel case ),riverdeep-learning-company,9.99
281,microsoft digital image suite plus [ lb ],microsoft software,129.95
282,hallmark card studio 2006,sierra home,29.99
283,adobe audition 2.0 upgrade,adobe,129.0
284,norton internet security mac 3.0 [ antivirus firewall privacy controls iclean ],symantec,99.95
285,corel wordperfect office 12 standard upgrade,corel,149.99
286,raster design 2006 essentials,autodesk psg,59.95
287,acrobat professional 8 mac upsell standard-professional,adobe,273.0
288,services for netware 5.0,microsoft,149.0
289,reader rabbit learning system 1st grade,encore software,29.99
290,microsoft windows xp professional upgrade with sp2,microsoft software,199.99
291,mavis beacon typing 17 ( win/mac ),encore software,19.99
292,instant immersion spanish deluxe 2.0,topics entertainment,49.99
293,adobe creative suite cs3 design premium upgrade [ mac ],adobe,599.0
294,adobe photoshop cs3 [ mac ],adobe,649.0
295,microsoft office 2004 standard upgrade ( mac ),microsoft,239.99
296,microsoft student with encarta premium 2008 dvd,microsoft,49.95
297,microsoft sql server developer edition 2005 cd/dvd,microsoft software,49.95
298,microsoft visio standard 2007,microsoft,259.95
299,microsoft windows vista ultimate full version [ dvd ],microsoft,399.95
300,apple final cut express hd 3.5 ( mac ),apple computer,299.0
301,corel painter x win/mac,corel,429.0
302,adobe premiere elements 3.0,adobe,99.99
303,quickbooks simple start 2007,intuit,99.95
304,zoo tycoon 2 : marine mania expansion,microsoft,19.99
305,microsoft windows server 2003 client additional license for users-5 pack,microsoft,809.0
306,quickbooks pro 2007 for mac ( mac ),intuit,199.95
307,imsi resume writer deluxe [ lb ],imsi design,19.95
308,adobe photoshop elements 4.0 ( mac ),adobe,89.99
309,apple . mac 4.0 online service,apple,99.95
310,apple iwork '06 ( mac dvd ),apple,79.0
311,learning quickbooks 2007,intuit,39.95
312,ulead videostudio 11 plus,corel,129.99
313,microsoft onenote 2007,microsoft,99.95
314,apple ilife '06 ( mac dvd ) [ older version ],apple computer,79.0
315,adobe photoshop cs3 upgrade [ mac ],adobe,199.0
316,microsoft windows xp home edition full version with sp2,microsoft,199.0
317,adobe photoshop elements 5.0 premiere elements 3.0 bundle,adobe,149.99
318,microsoft outlook 2007,microsoft,109.95
319,quickbooks pro 2007 small business financial software,intuit,199.95
320,corel snapfire plus [ ignite photo fun ],corel,39.99
321,instant immersion german deluxe 2.0,topics entertainment,39.99
322,scooby doo glowing bug man ( jewel case ),encore software,9.99
323,instant immersion italian deluxe 2.0,topics entertainment,49.99
324,adobe creative suite cs3 production premium,adobe,1699.0
325,instant immersion spanish 2.0,topics entertainment,29.99
326,adobe dreamweaver cs3 [ mac ],adobe,399.0
327,quicken 2007 basic,intuit,29.95
328,adobe dreamweaver cs3 upgrade [ mac ],adobe,199.0
329,h & r block taxcut 2006 premium federal,h & r block,19.99
330,adobe creative suite cs3 web premium [ mac ],adobe,1599.0
331,apple garageband jam pack : symphony orchestra,apple,99.0
332,h & r block taxcut 2006 home & business + state,h & r block,79.99
333,professor teaches windows xp,individual software,19.99
334,microsoft visio standard 2007 version upgrade,microsoft,129.95
335,adobe dreamweaver cs3 upgrade,adobe,199.0
336,coreldraw graphics suite x3 upgrade,corel,179.0
337,microsoft mappoint 2006 with gps,microsoft,349.0
338,quicken 2007 home & business,intuit,89.95
339,microsoft office excel 2007,microsoft,229.95
340,h & r block taxcut 2006 premium federal + state + efile,h & r block,59.99
