id1,id2
830,1740
485,1142
348,2061
544,1981
710,1380
150,2160
694,1387
948,1324
334,2134
249,2001
709,1377
345,2062
208,2004
657,1399
347,1945
413,1060
82,1629
501,1677
827,1429
145,1527
181,1612
126,1594
596,1920
32,1705
79,1636
933,1218
687,1386
925,1861
864,1273
484,1445
464,1197
436,1070
122,1563
396,1247
377,1096
956,1308
490,1135
817,1442
673,1804
545,1982
185,2096
659,1400
615,1994
923,2025
811,1797
76,1624
986,1298
224,1879
546,1979
679,1808
223,1883
834,1426
475,1847
841,1441
259,1922
488,1134
350,1873
943,1329
260,1014
708,1878
478,1188
476,1186
922,1208
105,2076
349,1256
402,1108
233,1803
210,2017
763,1484
813,1800
198,2028
33,1701
498,1129
861,1271
977,1292
114,1564
992,1275
629,1959
333,2089
977,1491
452,1171
486,1140
562,2034
231,1811
575,2110
563,2035
750,1704
92,1650
858,1498
679,1492
206,2009
690,1817
425,1077
359,1228
844,1417
310,1493
495,1572
608,1371
459,1166
314,1576
430,1085
96,1646
440,1181
192,2086
915,1202
446,1175
219,2097
748,1008
304,1618
104,1655
480,2128
248,1954
78,1644
901,1515
522,1974
196,2080
681,1396
517,1972
264,1911
520,1782
757,1495
536,1992
885,1220
755,1731
892,1224
890,1226
532,1787
667,1404
382,1099
608,2049
903,1238
791,1365
756,1337
776,1472
514,1144
745,1716
777,1837
672,1390
806,1450
327,1882
423,1074
315,1147
911,2112
202,2066
782,1690
863,1272
654,1412
774,1913
319,1842
724,1348
862,1270
340,1946
148,1881
766,1479
579,1037
252,1936
284,1774
900,1229
391,1090
81,1628
449,1173
48,1736
324,1742
236,1786
120,1559
927,1501
162,2146
713,1353
822,1751
937,1504
301,1061
640,1785
640,2123
730,1862
911,2032
388,1093
653,1836
6,1678
270,1892
147,1121
580,1933
535,1985
638,1029
429,1084
565,2109
172,2152
816,1795
258,1757
566,2104
297,1663
226,1871
773,1473
300,2018
157,2135
482,1187
93,1648
686,1814
310,2108
916,1828
149,1932
512,2088
787,1217
538,1465
374,1098
296,1897
936,2024
877,1257
980,1304
539,1990
422,1587
306,1938
551,1165
136,1009
243,1761
665,1403
957,1309
647,1830
839,1420
731,1349
835,1779
20,1686
359,1745
964,1318
455,1169
246,1759
854,1916
384,1088
711,2068
925,1894
796,1456
934,1510
867,1242
569,1996
431,1357
816,1423
953,1330
887,1986
841,1771
242,1765
602,1436
969,1315
531,1987
632,1955
163,2148
652,1411
831,1428
434,1068
136,1653
493,1133
616,1488
534,1649
575,1909
516,1973
470,1192
165,2150
276,1633
271,1896
683,1384
781,1552
274,1379
626,1958
352,1082
515,1149
78,1634
618,1023
960,1305
645,1407
67,1608
661,1401
719,1895
917,1209
651,1831
303,2075
468,1193
432,1066
489,1137
752,1489
883,1221
971,1297
631,1030
287,1024
719,2118
754,1490
341,1081
936,1505
860,1267
985,1299
256,1927
40,1723
286,1566
577,1905
481,1640
800,1642
205,2008
159,2126
383,1089
368,1421
407,1109
771,1542
72,1627
928,1210
288,1680
815,1446
344,1015
373,1049
499,1128
794,1463
5,1855
405,1112
837,1769
559,2030
870,1246
337,2136
775,1536
793,1546
228,1833
84,1643
364,1496
785,1471
987,1279
303,1841
387,1439
254,1947
807,1104
116,1575
609,1019
790,1544
660,1907
458,1168
832,1427
789,1461
7,1681
392,1117
819,1792
886,1227
350,2140
260,1341
98,1661
293,1414
239,1768
809,1448
253,1953
947,1325
128,1598
332,1944
331,1141
12,1531
843,1459
699,1875
464,1554
1000,1470
274,1539
543,1239
590,1923
704,1369
488,2006
881,1222
247,1965
950,1339
801,1455
994,1288
592,1835
75,1623
552,2020
628,1959
852,1261
620,1961
529,1969
676,1568
389,1092
141,1013
627,1022
891,1893
496,1127
660,1254
45,1728
664,1402
299,1063
44,1727
783,1468
139,1849
323,2127
624,1021
129,1597
909,1203
142,1630
759,1482
197,2036
537,1989
269,1891
625,1957
735,1864
587,1046
771,2000
441,2042
60,1603
633,1033
215,2107
73,1621
847,1591
904,1237
594,1043
180,2091
931,1499
487,1143
613,2115
929,1500
195,1887
899,1513
988,1280
638,1356
526,1971
138,1212
477,2116
186,2095
843,1571
146,1080
508,1150
213,2011
695,1153
762,1718
581,2079
513,1801
893,1526
404,1106
788,1462
746,1712
151,1581
962,1307
47,1734
518,1976
368,1790
733,1867
291,1710
106,1666
235,1775
518,1574
263,1910
275,1818
213,2147
1000,1281
356,1146
851,1262
353,1076
397,1136
501,1160
391,1766
117,1577
59,1606
397,2072
421,1054
134,1579
889,1534
663,1007
601,1602
838,1424
586,1047
55,1748
70,1625
997,1289
168,2157
497,1126
277,1604
265,1912
716,1364
8,1682
486,1997
913,1884
932,1877
49,1743
255,1928
905,1520
649,1832
152,1874
155,2122
902,2111
887,2102
109,1662
551,2016
472,1191
217,1917
979,1290
925,1502
779,1538
930,1211
439,2041
682,1809
110,1664
771,2027
872,1250
668,1754
342,1980
705,1381
50,1747
564,2005
568,2023
479,2114
18,2139
856,1266
22,1184
390,1091
670,1391
237,1772
916,2026
722,1857
512,1206
658,1838
124,1561
510,1154
553,2067
595,1921
663,1843
735,1342
9,1685
576,1906
561,1477
787,1543
910,1205
308,1014
58,1607
744,1706
453,1170
593,2052
511,1155
952,1333
431,1065
728,1352
466,1196
548,1125
351,1111
401,1107
769,1541
175,1784
798,1454
29,1696
843,1760
199,2036
749,1693
573,1179
530,1332
606,1949
871,1249
824,1431
676,1392
876,1255
371,1145
888,1225
480,1182
35,1717
227,1858
398,1124
339,2063
456,2046
31,1707
751,1966
519,1823
469,2051
266,2057
939,1216
596,1027
34,1719
568,1204
655,1834
963,1317
232,1806
403,1105
600,1950
849,1260
931,1252
207,2002
585,1931
203,2056
250,1998
583,1056
677,1395
991,1073
894,1233
21,1687
99,1658
387,1086
946,1321
127,1593
414,1064
958,1310
934,1506
624,2159
961,1306
717,1366
648,1409
174,2155
760,1720
7,1825
998,1286
756,1735
419,1051
607,2132
601,1951
251,1941
570,2120
280,1964
43,1730
362,1078
795,1791
338,2037
56,1750
19,1556
320,1244
300,1458
996,1287
336,2007
925,1901
80,1637
805,1781
190,2071
782,1925
814,1796
630,1031
828,1746
358,1930
935,1219
695,1821
791,1545
795,1331
718,1362
706,1592
959,1311
435,1069
846,1415
880,1523
938,1215
989,1277
639,1028
408,1110
778,1872
540,1977
380,1101
312,1852
784,1691
792,1464
974,1295
145,1528
23,1688
108,1665
187,2093
702,1367
363,1581
212,1793
812,1444
981,1303
37,1714
89,1652
160,2133
115,1565
978,1291
583,1813
376,1370
222,2100
560,2033
63,1616
567,1422
640,1285
415,2156
169,1856
802,1788
936,2117
316,1094
942,1326
825,1749
739,1869
764,1725
370,1840
100,1659
399,1120
273,1900
737,1340
525,1926
272,2054
857,1265
671,1802
302,2057
941,1327
317,1652
747,1697
492,1130
634,1956
966,1320
193,2085
125,1595
642,1829
906,1236
63,1674
484,1183
166,1269
321,2125
245,1756
18,1148
65,1619
732,1866
191,2069
433,1067
603,1010
769,2039
86,1639
52,1741
257,1185
818,1443
4,1675
875,1253
984,1300
314,1053
105,1669
188,2074
410,1059
758,1733
847,1372
566,2022
720,1363
182,2090
897,1517
94,1647
77,1632
542,2151
200,2065
240,1770
620,1615
143,1767
584,1709
534,1984
902,1578
290,2083
556,1991
823,1433
619,1960
322,1248
725,1853
610,1948
366,1553
808,1451
412,1062
967,1313
622,1138
442,1178
494,1132
741,1868
727,1863
891,1525
307,1721
682,1827
940,1503
637,1418
26,1700
10,1529
879,1223
379,1102
923,2113
826,1430
714,1880
283,1993
527,1970
674,1393
184,2096
36,1715
279,1609
314,1820
42,1729
61,1601
171,1798
688,1815
214,2124
463,1198
701,1376
799,1789
636,1026
183,1434
804,1453
503,2019
598,1041
719,1903
565,2021
311,1002
782,1935
39,1724
376,2129
696,1389
376,1844
920,1361
232,2043
693,1919
574,2015
738,1346
443,2038
234,1805
57,1605
528,1214
121,1562
16,1551
201,1940
444,1177
916,1507
703,1870
972,1296
298,2078
420,1055
285,1151
225,1876
621,1025
769,1358
842,1419
604,1011
891,1557
357,1467
169,2143
895,1516
926,1213
69,1611
675,1807
460,1163
712,1359
724,2087
774,1758
843,2081
144,1570
680,1397
261,1924
934,1514
400,1122
878,1258
932,1139
541,1978
167,2144
88,1683
547,2003
777,1537
25,1695
617,1018
154,2142
854,1522
829,1194
734,1343
549,1934
859,1268
173,1558
685,1383
836,1425
898,1231
130,1596
426,1645
868,1243
467,2053
550,2014
650,1410
602,1886
644,1826
715,1354
280,1103
417,1050
678,1394
996,2106
473,1190
95,1005
765,1487
719,1904
161,2121
570,1580
146,1995
669,1846
465,1195
593,1494
87,1638
292,2130
797,1457
71,1626
1001,1283
637,1447
189,2073
853,1264
960,1476
282,1613
461,2044
361,1460
107,1667
726,1347
329,1744
454,2045
500,1159
177,2141
66,1610
114,2145
803,1452
483,1180
887,1533
648,2064
623,1962
103,1654
920,1889
591,1044
675,1486
209,2012
15,1550
673,1585
662,1839
311,2099
90,1651
97,1660
27,1699
343,1201
743,1708
976,1293
195,1885
474,1189
782,1360
74,1622
916,1888
457,1167
993,1276
641,1405
330,1116
13,1548
438,1072
582,1374
451,2047
238,1773
772,1480
635,1032
869,1245
369,1694
28,1698
367,1235
447,1176
437,1071
643,1406
411,1058
278,1952
855,1263
723,1851
308,1341
155,2131
920,1547
14,1549
914,1040
955,1334
289,1711
572,1034
262,1915
611,1020
812,2058
218,2103
612,1199
24,1689
777,1350
326,1118
768,1478
281,1378
381,1100
918,1512
982,1302
11,1530
310,1799
346,1939
983,1301
294,1485
118,1776
866,1241
221,2098
365,1777
767,1540
925,2119
68,1614
919,1511
313,2094
179,2092
848,1413
111,1668
533,1988
416,1048
854,1497
578,1039
378,1095
53,1752
309,1416
30,1713
505,1156
354,1017
999,1284
152,1860
113,1569
975,1294
791,1679
850,1259
3,1673
220,1035
949,1336
335,1600
616,1943
656,1398
41,1722
689,1385
873,2070
312,1004
736,1865
742,1344
865,1240
944,1328
534,1312
386,1850
445,2040
614,1016
344,1794
770,1481
462,1164
153,1006
194,2084
338,1763
684,1812
294,2013
448,1174
305,1937
924,1918
692,1819
211,2010
372,1583
9,1684
911,1890
396,1123
471,2048
774,1535
646,1408
970,1316
753,1732
318,2101
923,1509
973,1762
85,1641
507,1158
376,1038
394,1114
1,1672
38,1726
554,1322
427,1079
840,1438
91,1810
845,1755
666,1848
521,1975
707,1382
525,1963
740,1345
821,1440
896,1230
137,1590
990,1278
375,1097
123,1560
230,1816
356,1232
921,1207
328,1466
229,2154
884,1521
555,1036
810,1449
46,1737
480,1003
524,1967
409,1057
721,1854
912,1200
535,1375
325,2082
517,1983
698,1824
102,1657
133,1582
934,1519
178,1588
393,1119
83,1631
557,1999
422,2077
241,1764
691,1388
119,1573
51,1738
158,2137
352,1783
907,1234
995,1274
945,1323
965,1319
599,2059
506,1157
267,1902
588,1929
5,1676
101,1656
64,1620
807,1780
54,1753
968,1314
170,2158
336,1635
509,1152
355,1282
786,1692
244,1942
571,1475
761,1483
700,1373
729,1351
780,1474
131,1586
360,1703
418,1052
911,1508
777,1898
395,1115
751,1702
0,1670
882,1524
597,1042
216,2105
176,2138
156,1739
428,1083
132,1584
589,1045
923,1532
62,1617
547,2050
874,1251
697,1822
711,1355
268,1908
110,2153
951,1338
908,1518
555,1599
450,1172
204,2060
2,1671
333,1368
292,2055
571,1914
502,1162
406,1113
833,1778
385,1087
854,1899
140,1012
954,1335
936,1859
135,1589
306,1437
523,1968
112,1567
164,2149
558,2029
295,1432
491,1131
504,1161
682,2031
424,1075
17,1555
605,1845
820,1435
345,1469
