id,affil1
0,almaden harry ibm jose
1,bombay iit
2,diego
3,zurich
4,athens business economics
5,aalborg
6,aalborg
7,aalborg
8,aalborg denmark
9,aalborg denmark
10,aalborg denmark
11,advanced pa pittsburgh
12,agricultural athens
13,bologna di
14,almaden
15,almaden jose
16,seattle
17,com seattle
18,corporate intel
19,thessaloniki
20,arizona az tempe
21,arizona
22,arizona
23,arizona az tempe
24,arizona az tempe
25,arizona tempe
26,aster
27,aster
28,az tempe
29,att
30,att florham nj park
31,att florham park
32,att
33,att
34,att florham nj park
35,att
36,att
37,att florham nj park
38,att florham nj park
39,att
40,att com divesh florham nj park
41,att
42,att florham nj park
43,att
44,att com florham nj park room
45,att com divesh florham park
46,att florham nj park
47,att florham nj park
48,att com
49,att
50,att florham nj park
51,att
52,att florham nj park
53,att nj
54,att
55,att
56,att com florham nj park room
57,att com divesh florham nj park
58,att florham nj park
59,att florham nj park
60,att jersey nj
61,att nj
62,att
63,att florham nj park
64,att florham nj park
65,att
66,att
67,att florham nj park
68,att
69,att florham nj park
70,athens business economics
71,athens business economics
72,athens business economics
73,att florham nj park
74,finland helsinki
75,nchen
76,bea
77,bea jose
78,bea jose
79,bea
80,bea
81,bea burlington ma
82,bea francisco
83,bea jose
84,bea diego jose
85,bea nj
86,bea redwood shores
87,bea francisco
88,bea jose
89,bea jose munich technical
90,bea
91,bea francisco
92,bell
93,bell
94,bell hill mountain murray nj
95,bell com hill mountain murray nj
96,bell il lucent
97,bell lucent
98,bell hill lucent mountain murray nj
99,bell com lucent mountain nj
100,bell hill lucent murray nj
101,bell lucent
102,bell hill murray nj
103,bell
104,bell
105,bell
106,bangalore bell
107,bell lucent
108,bell lucent
109,bell lucent
110,bell hill lucent murray nj
111,bell hill jersey lucent murray
112,bell hill lucent murray nj
113,bell hill murray nj
114,bell
115,berkeley
116,ibm stuttgart
117,ankara bilkent turkey
118,bilkent turkey
119,berkeley
120,boeing phantom works
121,boston
122,boston ma
123,boston ma
124,boston
125,boston
126,brandeis
127,brandeis ma waltham
128,brandeis ma waltham
129,brown
130,brown
131,brown providence ri
132,brown providence ri
133,brown providence ri
134,university
135,cc cupertino nec silicon valley
136,cc cupertino nec silicon suite valley
137,cc com jose nec rio sj
138,cc jose nec rio
139,carnegie mellon
140,carnegie mellon pa pittsburgh
141,carnegie mellon
142,carnegie epfl mellon
143,carnegie intel mellon pittsburgh
144,carnegie mellon pittsburgh
145,carnegie mellon pa pittsburgh
146,carnegie mellon pa pittsburgh
147,carnegie mellon pennsylvania pittsburgh
148,carnegie mellon
149,case cleveland oh reserve western
150,cedric cnam
151,cedric cnam paris
152,cedric cnam paris
153,cedric cnam fr paris
154,la lafayette louisiana
155,advanced chicago illinois
156,atlanta emory informatics
157,diego
158,amsterdam centrum en informatica voor wiskunde
159,amsterdam centrum en informatica kruislaan sj voor wiskunde
160,amsterdam centrum en informatica sj voor wiskunde
161,amsterdam centrum en informatica wiskunde
162,dauphine paris
163,lafayette purdue
164,cern
165,riverside uc
166,chinese
167,beijing chinese
168,chinese
169,chinese hong kong
170,chinese hong kong
171,chinese hong kong
172,chinese hong kong territories
173,chinese hong kong territories
174,chutney
175,atlanta chutney ga
176,atlanta chutney ga
177,edu newark nj rutgers
178,ny polytechnic
179,fl florida gainesville
180,hong kong
181,hong kong
182,hong kong
183,hong kong kowloon
184,as clustra
185,clustra norway trondheim
186,cnam
187,cnam paris
188,cnam
189,business
190,boston ma northeastern
191,northeastern
192,computing georgia
193,atlanta computing drive ga georgia
194,atlanta computing georgia
195,nanyang technological
196,drexel pa philadelphia
197,drexel pennsylvania philadelphia
198,drexel philadelphia
199,pa park pennsylvania
200,pa park pennsylvania
201,columbia
202,columbia york
203,columbia york
204,columbia ny york
205,columbia ny york
206,columbia ny
207,ankara bilkent turkey
208,berkeley electrical uc
209,alto compaq palo
210,compaq
211,compaq il
212,pa pennsylvania philadelphia
213,florida gainesville
214,florida gainesville
215,informatics patras
216,cambridge
217,riverside scienceengineering
218,indian mumbai scienceengineering
219,artificial intelligence massachusetts
220,bombay engg
221,engg india mumbai
222,arizona az edu tempe
223,amherst buffalo york
224,riverside
225,arizona tempe
226,carnegie mellon
227,boston
228,brown
229,carnegie mellon pittsburgh
230,carnegie mellon pa pittsburgh
231,carnegie mellon
232,advanced automation maryland park
233,advanced automation edu maryland park umd
234,columbia
235,duke
236,hong kong
237,chicago illinois
238,bloomington indiana
239,stanford
240,stanford
241,stanford
242,db edu stanford
243,stanford
244,stanford
245,haifa technion
246,haifa technion
247,ac aviv il tel
248,arizona
249,barbara santa
250,berkeley
251,angeles los
252,edu riverside ucr
253,university
254,champaign edu il illinois uiuc urbana
255,chicago illinois
256,maryland park
257,maryland md park
258,maryland park
259,carlos paulo
260,angeles los southern
261,angeles los southern
262,southern
263,stuttgart
264,box enschede nl twente
265,virginia
266,ucla
267,columbia
268,stanford
269,binghamton suny
270,angeles los ucla
271,chicago illinois
272,athens technical
273,berkeley uc
274,berkeley uc
275,central electrical fl florida
276,diego jolla la uc
277,hong kong
278,carlos sp
279,madison wi wisconsin
280,madison wisconsin
281,madison wisconsin
282,madison wi wisconsin
283,wisconsin
284,purdue
285,patras
286,box gr patras
287,computing
288,cornell ithaca ny
289,cornell
290,cornell ithaca ny
291,cornell ithaca york
292,cornell ithaca ny
293,cornell ithaca ny
294,cornell ithaca
295,cornell ithaca
296,courant mathematical york
297,courant mathematical york
298,courant mathematical ny york
299,courant york
300,courant ny york
