id,affil1
0,", IBM Almaden Research Center, 650 Harry Road, CA 95120, San Jose, USA"
1,", IIT Bombay"
2,", University of California, San Diego, USA"
3,"28msec Inc., Zurich, Switzerland"
4,"28msec, Inc."
5,"76 Patision Street, Athens University of Economics and Business, Athens, Greece"
6,Aalborg Univ.
7,"Aalborg Univ., Aalborg, The Netherlands"
8,Aalborg University
9,"Aalborg University, Aalborg, Denmark"
10,"Aalborg University, Denmark"
11,"Aalborg University, Denmark, Ost, Denmark"
12,"Advanced Data Management Technologies Laboratory, Department of Computer Science, University of Pittsburgh, Pittsburgh, PA"
13,Agricultural Univ. of Athens
14,"Alma Mater Studiorum��Universit�� di Bologna, Bologna, Italy"
15,Almaden
16,"Almaden Research Center, San Jose, CA, USA"
17,"Amazon Corp., Seattle"
18,"Amazon.com, Seattle"
19,"Applications Research Laboratory, Corporate Technology Group, Intel Corporation, USA"
20,"Aristotle University, Thessaloniki, Greece"
21,"Arizona State Univ., Tempe, AZ"
22,Arizona State University
23,"Arizona State University, Arizona"
24,"Arizona State University, Tempe, AZ"
25,"Arizona State University, Tempe, AZ, USA"
26,"Arizona State University, Tempe, USA"
27,Aster Data
28,Aster Data Systems
29,"ASU, Tempe, AZ"
30,AT & T Labs-Research
31,"AT & T Labs-Research, Florham Park, NJ"
32,"AT & T Labs-Research, Florham Park, USA 07932"
33,AT&T
34,AT&T Laboratories
35,"AT&T Laboratories - Research, Florham Park, NJ, USA"
36,AT&T Labs
37,AT&T Labs - Research
38,"AT&T Labs - Research, Florham Park, NJ"
39,"AT&T Labs - Research, Florham Park, NJ, USA"
40,AT&T Labs -- Research
41,"AT&T Labs &ndash;&#8211; Research, 180 Park Avenue, Bldg 103, Florham Park, NJ 07932, USA; E-mail: divesh@research.att.com"
42,AT&T Labs Inc.
43,"AT&T Labs Inc. - Research, Florham Park, NJ, USA"
44,AT&T Labs Research
45,"AT&T Labs Research, 180 Park Avenue, Room E243, Florham Park, NJ 07932, USA; E-mail: mff@research.att.com"
46,"AT&T Labs Research, Florham Park, N.J., USA; e-mail: divesh@research.att.com"
47,"AT&T Labs Research, Florham Park, NJ"
48,"AT&T Labs Research, Florham Park, NJ, USA"
49,AT&T Labs Research; E-mail: suciu@research.att.com
50,AT&T Labs---Research
51,"AT&T Labs---Research, Florham Park, NJ"
52,AT&T Labs--Research
53,"AT&T Labs--Research, Florham Park, NJ"
54,"AT&T Labs--Research, NJ"
55,"AT&T Labs--Research, USA"
56,AT&T Labs-Research
57,"AT&T Labs-Research, 180 Park Ave., Room E 233, Florham Park, NJ 07932-0971, USA; http://www.research.att.com/~suciu"
58,"AT&T Labs-Research, 180 Park Avenue, Bldg. 103, Florham Park, NJ 07932, USA; e-mail: {sihem, divesh}@research.att.com"
59,"AT&T Labs-Research, Florham Park NJ"
60,"AT&T Labs-Research, Florham Park, NJ"
61,"AT&T Labs-Research, New Jersey, NJ, USA"
62,"AT&T Labs-Research, NJ"
63,"AT&T Labs-Research, USA"
64,"AT&T Labs, Florham Park, NJ"
65,"AT&T Labs, Florham Park, NJ, USA"
66,"AT&T Labs, Research"
67,AT&T Labs?Research
68,"AT&T Labs&mdash;&#8212;Research, Florham Park, NJ"
69,AT&T Research
70,"AT&T Research Laboratory, Florham Park, NJ"
71,Athens Univ. of Economics and Business
72,"Athens University of Economics and Business, Athens, Greece"
73,"Athens University of Economics and Business, Greece"
74,"ATT Labs - Research, Florham Park, NJ"
75,"Basic Research Unit, Helsinki Institute for Information Technology, Department of Computer Science, University of Helsinki, Finland"
76,"Bayerisches Forschungszentrum f��r Wissensbasierte Systeme, Orleansstr��, M��nchen, Germany"
77,BEA Systems
78,"BEA Systems Inc, San Jose, CA, USA"
79,"BEA Systems, Inc, San Jose"
80,"BEA Systems, Inc."
81,"BEA Systems, Inc.,"
82,"BEA Systems, Inc., Burlington, MA"
83,"BEA Systems, Inc., San Francisco, CA"
84,"BEA Systems, Inc., San Jose, CA"
85,"BEA Systems, Inc., San Jose, CA and Computer Science Department at the University of California, San Diego"
86,"BEA Systems, Liberty Corner, NJ"
87,"BEA Systems, Redwood Shores, CA"
88,"BEA Systems, San Francisco, CA"
89,"BEA Systems, San Jose, CA"
90,"BEA Systems, San Jose, CA and Technical University of Munich, Munich, Germany"
91,"BEA Systems, USA"
92,"BEA Systems. Inc., San Francisco, CA"
93,Bell Laboratories
94,Bell Laboratories (India)
95,"Bell Laboratories, 600 Mountain Avenue, Murray Hill, NJ"
96,"Bell Laboratories, 600 Mountain Avenue, Murray Hill, NJ 07974, USA; e-mail: {minos,rastogi}@bell-labs.com"
97,"Bell Laboratories, Alcatel-Lucent, Lisle, IL, USA"
98,"Bell Laboratories, Lucent Technologies"
99,"Bell Laboratories, Lucent Technologies, 600 Mountain Ave., NJ 07974, Murray Hill, USA"
100,"Bell Laboratories, Lucent Technologies, 600 Mountain Ave., NJ 07974, USA; {cychan, pascal, minos, rastogi}@research.bell-labs.com"
101,"Bell Laboratories, Lucent Technologies, Murray Hill, NJ"
102,"Bell Laboratories, Lucent Technologies, USA"
103,"Bell Laboratories, Murray Hill, NJ"
104,Bell Labs
105,Bell Labs Research
106,"Bell Labs Research India, India"
107,"Bell Labs Research, Bangalore, India"
108,"Bell Labs, Alcatel-Lucent"
109,"Bell Labs, Lucent"
110,"Bell Labs, Lucent Technologies"
111,"Bell Labs, Lucent Technologies Murray Hill, NJ"
112,"Bell Labs, Lucent Technologies, Murray Hill, New Jersey"
113,"Bell Labs, Lucent Technologies, Murray Hill, NJ"
114,"Bell Labs, Murray Hill, NJ"
115,Bell Labs.
116,Berkeley
117,Berufsakademie Stuttgart/IBM Germany
118,"Bilkent University, Ankara, Turkey"
119,"Bilkent University, Bursa, Turkey"
120,"Biological Data Management and Technology Center, Berkeley, CA"
121,Boeing Phantom Works
122,Boston University
123,"Boston University, Boston, MA"
124,"Boston University, Boston, MA, USA"
125,"Boston University, Boston, USA"
126,"Boston University, Boston, USA 02215"
127,Brandeis University
128,"Brandeis University, Waltham, MA"
129,"Brandeis University, Waltham, MA, USA"
130,Brown U
131,Brown University
132,"Brown University, Providence, RI"
133,"Brown University, Providence, RI, USA"
134,"Brown University, Providence, RI."
135,C.M.U.
136,"C&C Research Laboratories - Silicon Valley, NEC USA, INC., Cupertino, California"
137,"C&C Research Laboratories - Silicon Valley, NEC USA, Inc., Suite, Cupertino, California"
138,"C&C Research Laboratories, NEC USA, 110 Rio Robles, M/S SJ100, San Jose, CA 95134, USA; E-mail: {wen,candan,hirata,hara}@ccrl.sj.nec.com"
139,"C&C Research Laboratories, NEC, Inc., 110 Rio Robles, San Jose, CA"
140,Carnegie Mellon University
141,"Carnegie Mellon University, 5000 Forbes Ave., Pittsburgh, PA 15213, USA"
142,"Carnegie Mellon University, Akamai Technologies"
143,"Carnegie Mellon University, EPFL"
144,"Carnegie Mellon University, Intel Research Pittsburgh"
145,"Carnegie Mellon University, Pittsburgh"
146,"Carnegie Mellon University, Pittsburgh, PA"
147,"Carnegie Mellon University, Pittsburgh, PA, USA"
148,"Carnegie Mellon University, Pittsburgh, Pennsylvania"
149,"Carnegie Mellon University, USA"
150,"Case Western Reserve University, Cleveland, OH"
151,Cedric-CNAM
152,"CEDRIC-CNAM Paris, France"
