id,title,authors,journal,month,year,publication_type
0,Efficient Thermal Simulation for Run-Time Temperature Tracking and Management,"Hang Li, Pu Liu, Zhenyu Qi, Lingling Jin, Wei Wu, Sheldon X. -d. Tan, Jun Yang",,,,
1,Fast Thermal Simulation for Runtime Temperature Tracking and Management.,"Pu Liu, Hang Li, Lingling Jin, Wei Wu, Sheldon X.-D. Tan, Jun Yang 0002",IEEE Trans. on CAD of Integrated Circuits and Systems,,2006,article
2,Efficient Thermal Simulation for Run-Time Temperature Tracking and Management.,"Hang Li, Pu Liu, Zhenyu Qi, Lingling Jin, Wei Wu, Sheldon X.-D. Tan, Jun Yang 0002",,,2005,inproceedings
3,Pebbling and optimal pebbling in graphs.,"David P. Bunde, Erin W. Chambers, Daniel W. Cranston, Kevin G. Milans, Douglas B. West",Journal of Graph Theory,,2008,article
4,Pebbling and Optimal Pebbling in Graphs,"Kevin Milans, Douglas B. West",,,2005,
5,Pebbling and Optimal Pebbling in Graphs,"Kevin Milans, Douglas B. West",,,2007,
6,Pebbling and Optimal Pebbling in Graphs,"Kevin Milans, Douglas B. West",,,2005,
7,Pebbling and Optimal Pebbling in Graphs,"Kevin Milans, Douglas B. West",,,2007,
8,Pebbling and Optimal Pebbling in Graphs,"Kevin Milans, Douglas B. West",,,,
9,Expected k-Coverage in Wireless Sensor Networks,"Li-hsing Yen, Chang Wu, Yu Yang-min Cheng",,,,
10,Abstract Expected k-coverage in wireless sensor networks,"Li-hsing Yen, Chang Wu Yu, Yang-min Cheng",,,2005,
11,Expected k-coverage in wireless sensor networks.,"Li-Hsing Yen, Chang Wu Yu, Yang-Min Cheng",Ad Hoc Networks,,2006,article
12,Runtime Verification of Concurrent Haskell Programs Abstract,"Volker Stolz, Frank Huch",,,,
13,Runtime Verification of Concurrent Haskell Programs Abstract,"Volker Stolz, Frank Huch",,,,
14,Runtime Verification of Concurrent Haskell Programs.,"Volker Stolz, Frank Huch",Electr. Notes Theor. Comput. Sci.,,2005,article
15,Theory-based causal inference,"Joshua B. Tenenbaum, Thomas L. Griffiths",,,,
16,Theory-Based Causal Inference.,"Joshua B. Tenenbaum, Thomas L. Griffiths",,,2002,inproceedings
17,Theory-based causal inference,"Joshua B. Tenenbaum, Thomas L. Griffiths",,,,
18,Theory-Based Causal Inference,"Joshua B. Tenenbaum, Thomas L. Griffiths",,,,
19,Theory-based causal inference,"Joshua B. Tenenbaum, Thomas L. Griffiths",,,,
20,Theory-based causal inference,"Joshua B. Tenenbaum, Thomas L. Griffiths",,,,
21,Reverse-Mode AD in a Functional Framework: Lambda the Ultimate Backpropagator,"Barak A. Pearlmutter, Jeffrey Mark Siskind",,,,
22,Reverse-Mode AD in a Functional Framework: Lambda the Ultimate Backpropagator,"Barak A. Pearlmutter, Jeffrey Mark Siskind",,,,
23,Reverse-Mode AD in a Functional Framework: Lambda the Ultimate Backpropagator,"Barak A. Pearlmutter, Jeffrey Mark Siskind",,,,
24,Reverse-Mode AD in a Functional Framework: Lambda the Ultimate Backpropagator,"Barak A. Pearlmutter, Jeffrey Mark Siskind",,,,
25,Reverse-mode AD in a functional framework: Lambda the ultimate backpropagator.,"Barak A. Pearlmutter, Jeffrey Mark Siskind",ACM Trans. Program. Lang. Syst.,,2008,article
26,Cutting two graphs simultaneously.,Viresh Patel,Journal of Graph Theory,,2008,article
27,Cutting Two Graphs Simultaneously,Viresh Patel,,,2007,
28,Cutting Two Graphs Simultaneously,Viresh Patel,,,2007,
29,On possible counterexamples to Negami's planar cover conjecture.,"Petr Hlinen, Robin Thomas",Journal of Graph Theory,,2004,article
30,On Possible Counterexamples to Negami's Planar Cover Conjecture,Robin Thomas,,,,
31,On Possible Counterexamples to Negami's Planar Cover Conjecture,Robin Thomas,,,,
32,On Possible Counterexamples to Negami's Planar Cover Conjecture,Robin Thomas,,,,
33,Intrusive and Non-intrusive Evaluation of Ambient Displays,"Xiaobin Shen, Peter Eades, Seokhee Hong, Andrew Vande Moere",,,,
34,Intrusive and Non-intrusive Evaluation of Ambient Displays.,"Xiaobin Shen, Peter Eades, Seok-Hee Hong, Andrew Vande Moere",,,2007,inproceedings
35,Intrusive Evaluation of Ambient Displays.,Xiaobin Shen,IJACI,,2009,article
36,Field Modifiable Architecture with FPGAs and its Design/Verification/Debugging Methodologies,"Masahiro Fujita, Satoshi Komatsu, Hiroshi Saito, Kenshu Seto, Thanyapat Sakunkonchak, Yoshihisa Kojima",,,,
37,Field Modifiable Architecture with FPGAs and its Design/Verification/Debugging Methodologies,"Masahiro Fujita, Satoshi Komatsu, Hiroshi Saito, Kenshu Seto, Thanyapat Sakunkonchak, Yoshihisa Kojima",,,,
38,Field Modifiable Architecture with FPGAs and its Design/Verification/Debugging Methodologies.,"Masahiro Fujita, Satoshi Komatsu, Hiroshi Saito, Kenshu Seto, Thanyapat Sakunkonchak, Yoshihisa Kojima",,,2003,inproceedings
39,Consensus on Transaction Commit,"Jim Gray, Leslie Lamport",,,2004,
40,Consensus on Transaction Commit,"Jim Gray, Leslie Lamport",,,2004,
41,Consensus on Transaction Commit,"Jim Gray, Leslie Lamport",,,,
42,Consensus on Transaction Commit,"Jim Gray, Leslie Lamport",,,2004,
43,Consensus on Transaction Commit,"Jim Gray, Leslie Lamport",,,2004,
44,Consensus on Transaction Commit,"Jim Gray, Leslie Lamport",CoRR,,2004,article
45,Consensus on Transaction Commit,"Jim Gray, Leslie Lamport",,,2004,
46,Consensus on transaction commit.,"Jim Gray, Leslie Lamport",ACM Trans. Database Syst.,,2006,article
47,Rainbow Turn Problems,"Peter Keevash, Dhruv Mubayi, Benny Sudakov, Jacques Verstrate",,,,
48,Rainbow Turn Problems,"Peter Keevash, Dhruv Mubayi, Benny Sudakov, Jacques Verstra te",,,2004,
49,Rainbow Turn Problems.,"Peter Keevash, Dhruv Mubayi, Benny Sudakov, Jacques Verstrate","Combinatorics, Probability & Computing",,2007,article
50,List colorings with measurable sets.,"Jan Hladk, Daniel Krl, Jean-Sbastien Sereni, Michael Stiebitz",Journal of Graph Theory,,2008,article
51,List colorings with measurable sets,"Daniel Krl, Jean-sbastien Sereni, Michael Stiebitz",,,,
52,List colorings with measurable sets,"Daniel Krl, Jean-sbastien Sereni, Michael Stiebitz",,,,
53,List colorings with measurable sets,"Daniel Krl, Jean-sbastien Sereni, Michael Stiebitz",,,,
54,Abstract Children Distinguish Conventional from Moral Violations in Interactions with a Personified Agent,"Nathan G. Freier, Nathan G. Freier, Nathan G. Freier, Professor Batya Friedman",,,2007,
55,Children distinguish conventional from moral violations in interactions with a personified agent.,Nathan G. Freier,,,2007,inproceedings
56,Children Distinguish Conventional from Moral Violations in Interactions,Nathan G. Freier,,,,
57,Abstract Children Distinguish Conventional from Moral Violations in Interactions with a Personified Agent,"Nathan G. Freier, Nathan G. Freier, Nathan G. Freier, Professor Batya Friedman",,,2007,
58,Integrated Language Technologies for Multilingual Information Services in the MEMPHIS Project,"Walter Kasper, Jrg Steffen, Jakub Piskorski, Paul Buitelaar",,,,
59,Integrated Language Technologies for Multilingual Information Services in the MEMPHIS Project.,"Walter Kasper, Jrg Steffen, Jakub Piskorski, Paul Buitelaar",,,2004,inproceedings
60,Integrated Language Technologies for Multilingual Information Services in the MEMPHIS Project,"Walter Kasper, Jrg Steffen, Jakub Piskorski, Paul Buitelaar",,,,
61,Practical Data-Centric Storage,"Cheng Tien Ee, Sylvia Ratnasamy",,,,
62,Practical Data-Centric Storage.,"Cheng Tien Ee, Sylvia Ratnasamy, Scott Shenker",,,2006,inproceedings
63,Practical Data-Centric Storage,"Cheng Tien Ee, Sylvia Ratnasamy, Scott Shenker",,,,
64,A Hierarchy of Equivalences for Asynchronous Calculi ,"Cdric Fournet A, Georges Gonthier B",,,,
65,A Hierarchy of Equivalences for Asynchronous Calculi.,"Cdric Fournet, Georges Gonthier",,,1998,inproceedings
66,A hierarchy of equivalences for asynchronous calculi.,"Cdric Fournet, Georges Gonthier",J. Log. Algebr. Program.,,2005,article
67,HIGH-RATE DIRECT-SEQUENCE SPREAD SPECTRUM,"Michael B. Pursley, Thomas C. Royster, Michael Y. Tan",,,,
68,High-Rate Direct-Sequence Spread Spectrum With Error-Control Coding.,"Michael B. Pursley, Thomas C. Royster IV",IEEE Transactions on Communications,,2006,article
69,High-Rate Direct-Sequence Spread Spectrum With Error-Control Coding.,"Michael B. Pursley, Thomas C. Royster IV",IEEE Transactions on Communications,,2006,article
70,Sufficient conditions for a digraph to be Hamiltonian.,"Jrgen Bang-Jensen, Gregory Gutin, Hao Li",Journal of Graph Theory,,1996,article
71,Sufficient conditions for a digraph to be Hamiltonian Jrgen Bang--Jensen,"Gregory Gutin, Hao Li",,,,
72,Sufficient conditions for a digraph to be Hamiltonian,"Gregory Gutin, Hao Li",,,,
73,Achievable Diversity-vs-Multiplexing Tradeoffs in Half-Duplex Cooperative Channels,"Kambiz Azarian, Hesham El Gamal, Philip Schniter",,,,
74,On the Achievable Diversity-Multiplexing Tradeoff in Half Duplex Cooperative Channels,"Kambiz Azarian, Hesham El Gamal, Philip Schniter",,,,
75,On the Achievable DiversityMultiplexing Tradeoff in Half-Duplex Cooperative Channels,"Kambiz Azarian, Hesham El Gamal, Senior Member, Philip Schniter",,,,
76,On the Achievable Diversity-Multiplexing Tradeoffs in Half-Duplex Cooperative Channels,"Kambiz Azarian, Hesham El Gamal, Philip Schniter",CoRR,,2005,article
77,On the Achievable DiversityMultiplexing Tradeoff in Half-Duplex Cooperative Channels,"Kambiz Azarian, Hesham El Gamal, Senior Member, Philip Schniter",,,,
78,On the achievable diversity-multiplexing tradeoff in half-duplex cooperative channels.,"Kambiz Azarian, Hesham El Gamal, Philip Schniter",IEEE Transactions on Information Theory,,2005,article
79,Integrated Link Adaptation and Power Control to Improve Error and Throughput Performance in Broadband Wireless Packet Networks*,"Kin K. Leung, Li-chun Wang",,,2000,
80,Integrated Link Adaptation and Power Control to Improve Error and Throughput Performance in Wireless IP Networks*,"Kin K. Leung, Li-chun Wang",,,,
81,Integrated link adaptation and power control to improve error and throughput performance in broadband wireless packet networks.,"Kin K. Leung, Li-Chun Wang",IEEE Transactions on Wireless Communications,,2002,article
82,Connections in Networks: Hardness of Feasibility versus Optimality ,"Jon Conrad, Carla P. Gomes, Willem-jan Van Hoeve",,,,
83,Connections in Networks: Hardness of Feasibility versus Optimality ,"Jon Conrad, Carla P. Gomes, Willem-jan Van Hoeve",,,,
84,Connections in Networks: Hardness of Feasibility versus Optimality ,"Jon Conrad, Carla P. Gomes, Willem-jan Van Hoeve",,,,
85,Connections in Networks: Hardness of Feasibility versus Optimality ,"Jon Conrad, Carla P. Gomes, Willem-jan Van Hoeve",,,,
86,Connections in Networks: Hardness of Feasibility Versus Optimality.,"Jon Conrad, Carla P. Gomes, Willem Jan van Hoeve, Ashish Sabharwal, Jordan Suter",,,2007,inproceedings
87,Component Enhancement: An Adaptive Reusability Mechanism for Groups of Collaborating Classes.,Karl J. Lieberherr,,,1992,inproceedings
88,Edited by J.van Leeuwen Component Enhancement: An Adaptive Reusability Mechanism for Groups of Collaborating Classes,Karl J. Lieberherr,,,,
89,Component Enhancement: An Adaptive Reusability Mechanism for Groups of Collaborating Classes,Karl J. Lieberherr,,,,
90,Component Enhancement: An Adaptive Reusability Mechanism for Groups of Collaborating Classes,Karl J. Lieberherr,,,,
91,"Abstract Matroids, Secretary Problems, and Online Mechanisms","Moshe Babaioff, Nicole Immorlica, Robert Kleinberg",,,,
92,"Matroids, secretary problems, and online mechanisms.","Moshe Babaioff, Nicole Immorlica, Robert Kleinberg",,,2007,inproceedings
93,"Abstract Matroids, Secretary Problems, and Online Mechanisms","Moshe Babaioff, Nicole Immorlica, Robert Kleinberg",,,,
94,"Abstract Matroids, Secretary Problems, and Online Mechanisms","Moshe Babaioff, Nicole Immorlica, Robert Kleinberg",,,,
95,On the Convergence of Successive Linear-Quadratic Programming Algorithms,Richard A. Waltz,,,2005,
96,On the Convergence of Successive Linear-Quadratic Programming Algorithms.,"Richard H. Byrd, Nicholas I. M. Gould, Jorge Nocedal, Richard A. Waltz",SIAM Journal on Optimization,,2005,article
97,On the Convergence of Successive Linear Programming Algorithms,"Richard H. Byrd, Nicholas I. M. Gould, Jorge Nocedal, Richard A. Waltz",,,,
98,Toward Consistent Evaluation of Relevance Feedback Approaches in Multimedia Retrieval,"Xiangyu Jin, James French, Jonathan Michel",,,,
99,Toward Consistent Evaluation of Relevance Feedback Approaches in Multimedia Retrieval.,"Xiangyu Jin, James C. French, Jonathan Michel",,,2005,inproceedings
100,Toward Consistent Evaluation of Relevance Feedback Approaches in Multimedia Retrieval,"Xiangyu Jin, James French, Jonathan Michel",,,,
101,Integrated Coverage and Connectivity Configuration for Energy Conservation in Sensor networks 1,"Guoliang Xing, Xiaorui Wang, Yuanfang Zhang, Chenyang Lu, Robert Pless, Christopher Gill",,,,
102,Integrated Coverage and Connectivity Configuration for Energy Conservation in Sensor Networks,"Guoliang Xing, Xiaorui Wang, Yuanfang Zhang, Chenyang Lu, Robert Pless, Christopher Gill",,,,
103,Integrated Coverage and Connectivity Configuration for Energy Conservation in Sensor Networks,"Guoliang Xing, Xiaorui Wang, Yuanfang Zhang, Chenyang Lu, Robert Pless, Christopher Gill",,,,
104,Integrated coverage and connectivity configuration for energy conservation in sensor networks.,"Guoliang Xing, Xiaorui Wang, Yuanfang Zhang, Chenyang Lu, Robert Pless, Christopher D. Gill",TOSN,,2005,article
105,RECORDING DISTRIBUTED SNAPSHOTS BASED ON CAUSAL ORDER OF MESSAGE DELIVERY,"Arup Acharya, B. R. Badrinath",,,,
106,RECORDING DISTRIBUTED SNAPSHOTS BASED ON CAUSAL ORDER OF MESSAGE DELIVERY,"Arup Acharya, B. R. Badrinath",,,,
107,Recording Distributed Snapshots Based on Causal Order of Message Delivery.,"Arup Acharya, B. R. Badrinath",Inf. Process. Lett.,,1992,article
108,Recording Distributed Snapshots Based on Causal Order of Message Delivery.,"Arup Acharya, B. R. Badrinath",Inf. Process. Lett.,,1992,article
109,One-Gapped q-Gram Filters for Levenshtein Distance,"Stefan Burkhardt, Juha Krkkinen",,,,
110,One-Gapped q-Gram Filtersfor Levenshtein Distance.,"Stefan Burkhardt, Juha Krkkinen",,,2002,inproceedings
111,One-Gapped q-Gram Filters for Levenshtein Distance,Stefan Burkhardt,,,,
112,One-Gapped q-Gram Filters for Levenshtein Distance,Stefan Burkhardt,,,,
113,On graphs with small Ramsey numbers.,"Alexandr V. Kostochka, Vojtech Rdl",Journal of Graph Theory,,2001,article
114,On Graphs with Small Ramsey Numbers,"A. V. Kostochka, V. Rodl",,,2000,
115,On graphs with small Ramsey numbers,A. V. Kostochka,,,,
116,"On graphs with small Ramsey numbers, II",A. V. Kostochka\lambda,,,2002,
117,"On Graphs With Small Ramsey Numbers, II.","Alexandr V. Kostochka, Vojtech Rdl",Combinatorica,,2004,article
118,"Proper path-factors and interval edge-coloring of (3, 4)-biregular bigraphs.","Armen S. Asratian, Carl Johan Casselgren, Jennifer Vandenbussche, Douglas B. West",Journal of Graph Theory,,2009,article
119,Proper path-factors and interval edge-coloring of,"Armen S. Asratian, Carl Johan Casselgren, Jennifer Vandenbussche",,,,
120,"Proper path-factors and interval edge-coloring of (3, 4)-biregular bigraphs","Armen S. Asratian, Carl Johan Casselgren, Jennifer V, Douglas B. West",,,2007,
121,"Proper path-factors and interval edge-coloring of (3, 4)-biregular bigraphs","Armen S. Asratian, Carl Johan Casselgren, Jennifer Vandenbussche",,,2007,
122,"Proper path-factors and interval edge-coloring of (3, 4)-biregular bigraphs","Armen S. Asratian, Carl Johan Casselgren, Jennifer Vandenbussche",,,2007,
123,"Design, Simulation, and Experimental Demonstration of Self-assembled DNA Nanostructures and Motors","John H. Reif, Thomas H. Labean, Sudheer Sahu, Hao Yan, Peng Yin",,,,
124,"Design, Simulation, and Experimental Demonstration of Self-assembled DNA Nanostructures and Motors","John H. Reif, Thomas H. Labean, Sudheer Sahu, Hao Yan, Peng Yin",,,,
125,"Design, Simulation, and Experimental Demonstration of Self-assembled DNA Nanostructures and Motors.","John H. Reif, Thomas H. LaBean, Sudheer Sahu, Hao Yan, Peng Yin",,,2004,inproceedings
126,"Design, Simulation, and Experimental Demonstration of Self-Assembled DNA Nanostructures and Motors","J. H. Reif, T. H. Labean, S. Sahu, H. Yan, P. Yin",,,,
127,Minimum Energy Disjoint Path Routing in Wireless Ad-hoc Networks  ABSTRACT,"Anand Srinivas, Graph Theory, Eytan Modiano",,,,
128,Minimum Energy Disjoint Path Routing in Wireless Ad-hoc Networks  ABSTRACT,"Anand Srinivas, Graph Theory",,,,
129,Minimum energy disjoint path routing in wireless ad-hoc networks.,"Anand Srinivas, Eytan Modiano",,,2003,inproceedings
130,Inferring 3D Structure with a Statistical Image-Based Shape Model,"Kristen Grauman, Gregory Shakhnarovich, Trevor Darrell",,,,
131,Inferring 3D Structure with a Statistical Image-Based Shape Model,"Kristen Grauman, Gregory Shakhnarovich, Trevor Darrell",,,,
132,Inferring 3D Structure with a Statistical Image-Based Shape Model.,"Kristen Grauman, Gregory Shakhnarovich, Trevor Darrell",,,2003,inproceedings
133,Inferring Statistical Model 3D Structure with a Image-Based Shape,"Kristen Grauman, Gregory Shakhnarovich, Trevor Darrell",,,,
134,On Generalizing Rough Set Theory,Y. Y. Yao,,,,
135,On Generalizing Rough Set Theory.,Y. Y. Yao,,,2003,inproceedings
136,On Generalizing Rough Set Theory,Y. Y. Yao,,,,
137,Maximal and Maximum Independent Sets In Graphs With At Most r Cycles,"Bruce E. Sagan, Vincent R. Vatter",,,2005,
138,Maximal independent sets in graphs with at most r cycles.,"Goh Chee Ying, Koh Khee Meng, Bruce E. Sagan, Vincent R. Vatter",Journal of Graph Theory,,2006,article
139,Maximal and maximum independent sets in graphs with at most r cycles.,"Bruce E. Sagan, Vincent R. Vatter",Journal of Graph Theory,,2006,article
140,Maximal Independent Sets In Graphs With At Most r Cycles,"Goh Chee Ying, Koh Khee Meng, Bruce E. Sagan, Vincent R. Vatter",,,2005,
141,Maximal and Maximum Independent Sets In Graphs With At Most r Cycles,"Bruce E. Sagan, Vincent R. Vatter",,,2008,
142,Maximal and Maximum Independent Sets In Graphs With At Most r Cycles,"Bruce E. Sagan, Vincent R. Vatter",,,2005,
143,Maximal Independent Sets In Graphs With At Most r Cycles,"Goh Chee Ying, Koh Khee Meng, Bruce E. Sagan, Vincent R. Vatter",,,2005,
144,Sparse pseudo-random graphs are Hamiltonian.,"Michael Krivelevich, Benny Sudakov",Journal of Graph Theory,,2003,article
145,Sparse pseudo-random graphs are Hamiltonian,"Michael Krivelevich, Benny Sudakov",,,,
146,Sparse pseudo-random graphs are Hamiltonian,"Michael Krivelevich, Benny Sudakov",,,,
147,ABSTRACT COPE: Traffic Engineering in Dynamic Networks,"Hao Wang, Haiyong Xie, Lili Qiu, Yang Richard, Yang Yin, Zhang Albert Greenberg",,,,
148,ABSTRACT COPE: Traffic Engineering in Dynamic Networks,"Hao Wang, Haiyong Xie, Lili Qiu, Yang Richard, Yang Yin, Zhang Albert Greenberg",,,,
149,ABSTRACT COPE: Traffic Engineering in Dynamic Networks,"Hao Wang, Haiyong Xie, Lili Qiu, Yang Richard, Yang Yin, Zhang Albert Greenberg",,,,
150,COPE: traffic engineering in dynamic networks.,"Hao Wang, Haiyong Xie 0002, Lili Qiu, Yang Richard Yang, Yin Zhang, Albert G. Greenberg",,,2006,inproceedings
151,Multi-View Discriminative Sequential Learning?,"Ulf Brefeld, Tobias Scheffer",,,,
