id,title,authors,venue,year
0,towards a cooperative transaction model - the cooperative activity model,"m rusinkiewicz , w klas , t tesch , j wфsch , p muth",vldb,1995
1,sql/xml is making good progress,"a eisenberg , j melton",sigmod record,2002
2,using formal methods to reason about semantics-based decompositions of transactions,"p ammann , s jajodia , i ray",vldb,1995
3,report on the acm fourth international workshop on data warehousing and olap ( dolap 2001 ),,,2002
4,schema and database evolution in the o2 object database system,"f ferrandina , t meyer , r zicari , g ferran , j madec",vldb,1995
5,procedures in object-oriented query languages,"k subieta , y kambayashi , j leszczylowski",vldb,1995
6,phoenix project : fault-tolerant applications,"r barga , d lomet",sigmod record,2002
7,mining the world wide web : an information search approach - book review,,,2002
8,l/mrp : a buffer management strategy for interactive continuous data flows in a multimedia dbms,"f moser , a kraiss , w klas",vldb,1995
9,report on the nsf workshop on building an infrastructure for mobile and wireless systems,,,2002
10,retrieval of composite multimedia objects,"s chaudhuri , s ghandeharizadeh , c shahabi",vldb,1995
11,mpeg-7 and multimedia database systems,h kosch,sigmod record,2002
12,the fittest survives : an adaptive approach to query optimization,"h lu , k tan , s dao",vldb,1995
13,type classification of semi-structured documents,"m tresch , n palmer , a luniewski",vldb,1995
14,data mining : practical machine learning tools and techniques - book review,j geller,sigmod record,2002
15,managing intra-operator parallelism in parallel database systems,"m mehta , d dewitt",vldb,1995
16,advances in databases and information systems ( adbis ),"a caplinskas , j eder , o vasilecas",sigmod record,2002
17,mining generalized association rules,"r srikant , r agrawal",vldb,1995
18,sampling-based estimation of the number of distinct values of an attribute,"p haas , j naughton , s seshadri , l stokes",vldb,1995
19,book review column,k aberer,sigmod record,2002
20,processing object-oriented queries with invertible late bound functions,"s flodin , t risch",vldb,1995
21,"the clustra telecom database : high availability , high throughput , and real-time response","s hvasshovd , и torbjјrnsen , s bratsberg , p holager",vldb,1995
22,conceptual modeling and specification generation for b2b business process based on ebxml,h kim,sigmod record,2002
23,neurorule : a connectionist approach to data mining,"h lu , r setiono , h liu",vldb,1995
24,a multi-agent system infrastructure for software component market-place : an ontological perspective,"r erdur , o dikenelli",sigmod record,2002
25,improving performance in replicated databases through relaxed coherency,"r gallersdіrfer , m nicola",vldb,1995
26,an active functionality service for e-business applications,"m cilia , a buchmann",sigmod record,2002
27,contracting in the days of ebusiness,"w hќmmer , w lehner , h wedekind",sigmod record,2002
28,redo recovery after system crashes,"d lomet , m tuttle",vldb,1995
29,db2 query parallelism : staging and implementation,y wang,vldb,1995
30,david dewitt speaks out,m winslett,ecord,2002
31,a product specification database for visual prototyping,"k sumiya , k yasutake , h tanaka , n sanada , y imai",vldb,1995
32,from ternary relationship to relational tables : a case against common beliefs,r camps,sigmod record,2002
33,database de-centralization - a practical approach,"t didriksen , c galindo-legaria , e dahle",vldb,1995
34,cluster validity methods : part i,"m halkidi , y batistakis , m vazirgiannis",sigmod record,2002
35,a pictorial query language for querying geographic databases using positional and olap operators,"e pourabbas , m rafanelli",sigmod record,2002
36,benchmarking spatial join operations with spatial output,"e hoel , h samet",vldb,1995
37,bringing order to query optimization,"g slivinskas , c jensen , r snodgrass",sigmod record,2002
38,bigsur : a system for the management of earth science data,"p brown , m stonebraker",vldb,1995
39,efficient search of multi-dimensional b-trees,"h leslie , r jain , d birdsall , h yaghmai",vldb,1995
40,research activities in database management and information retrieval at the university of illinois at chicago,"i cruz , a khokhar , b liu , a sistla , o wolfson , c yu",sigmod record,2002
41,accessing a relational database through an object-oriented database interface,"j orenstein , d kamber",vldb,1995
42,interviewing during a tight job market,,,2002
43,"db2 common server : technology , progress , & directions",b lindsay,vldb,1995
44,investigating xquery for querying across database object types,n wiegand,sigmod record,2002
45,w3qs : a query system for the world-wide web,"d konopnicki , o shmueli",vldb,1995
46,the design of a retrieval technique for high-dimensional data on tertiary storage,"r orlandic , j lukaszuk , c swietlik",sigmod record,2002
47,oodb bulk loading revisited : the partitioned-list approach,"j wiener , j naughton",vldb,1995
48,the double life of the transaction abstraction : fundamental principle and evolving system concept,h korth,vldb,1995
49,combining fuzzy information : an overview,r fagin,sigmod record,2002
50,databases and workflow management : what is it all about ? ( panel ),"a reuter , s ceri , j gray , b salzberg , g weikum",vldb,1995
51,index concurrency control in firm real-time database systems,"b goyal , j haritsa , s seshadri , v srinivasan",vldb,1995
52,a brief survey of web data extraction tools,"a laender , b ribeiro-neto , a silva , j teixeira",sigmod record,2002
53,value-cognizant speculative concurrency control,"a bestavros , s braoudakis",vldb,1995
54,a performance study of workfile disk management for concurrent mergesorts in a multiprocessor database system,"k wu , p yu , j chung , j teng",vldb,1995
55,hot block clustering for disk arrays with dynamic striping,"k mogi , m kitsuregawa",vldb,1995
56,book review column,k aberer,sigmod record,2002
57,an approach for building secure database federations,"d jonscher , k dittrich",vldb,1994
58,the cougar approach to in-network query processing in sensor networks,"y yao , j gehrke",sigmod record,2002
59,dalэ : a high performance main memory storage manager,"h jagadish , d lieuwen , r rastogi , a silberschatz , s sudarshan",vldb,1994
60,introduction to constraint databases - book review,,,2002
61,"fast , randomized join-order selection - why use transformations ?","c galindo-legaria , a pellenkoft , m kersten",vldb,1994
62,foundations of statistical natural language processing - book review,,,2002
63,bulk loading into an oodb : a performance study,"j wiener , j naughton",vldb,1994
64,efficient and effective clustering methods for spatial data mining,"r ng , j han",vldb,1994
65,automata theory for xml researchers,f neven,sigmod record,2002
66,database research at the university of illinois at urbana-champaign,"m winslett , k chang , a doan , j han , c zhai , y zhou",sigmod record,2002
67,fast incremental indexing for full-text information retrieval,"e brown , j callan , w croft",vldb,1994
68,a transaction replication scheme for a replicated database with node autonomy,"a fu , d cheung",vldb,1994
69,treasurer 's message,,,2002
70,a top-down approach for two level serializability,"m ouzzani , m atroun , n belkhodja",vldb,1994
71,access to objects by path expressions and rules,"j frohn , g lausen , h uphoff",vldb,1994
72,graphdb : modeling and querying graphs in databases,r gќting,vldb,1994
73,report on the 24th european colloquium on information retrieval research,,,2002
74,database graph views : a practical model to manage persistent graphs,"a gutiщrrez , p pucheral , h steffen , j thщvenin",vldb,1994
75,dual-buffering strategies in object bases,"a kemper , d kossmann",vldb,1994
76,sql/med - a status report,"j melton , j michels , v josifovski , k kulkarni , p schwarz",sigmod record,2002
77,2q : a low overhead high performance buffer management replacement algorithm,"t johnson , d shasha",vldb,1994
78,an effective deductive object-oriented database through language integration,"m barja , n paton , a fernandes , m williams , a dinn",vldb,1994
79,toward autonomic computing with db2 universal database,"s lightstone , g lohman , d zilio",sigmod record,2002
80,an algebraic approach to rule analysis in expert database systems,"e baralis , j widom",vldb,1994
81,report on the semantic web workshop at www 2002,,,2002
82,fast algorithms for mining association rules in large databases,"r agrawal , r srikant",vldb,1994
83,opossum : desk-top schema management through customizable visualization,"e haber , y ioannidis , m livny",vldb,1995
84,the grid : an application of the semantic web,"c goble , d roure",sigmod record,2002
85,querying shapes of histories,"r agrawal , g psaila , e wimmers , m zaяt",vldb,1995
86,"the hbp-tree : a modified hb-tree supporting concurrency , recovery and node consolidation","g evangelidis , d lomet , b salzberg",vldb,1995
87,small worlds : the dynamics of networks between order and randomness - book review,,,2002
88,flexible relations - operational support of variant relational structures,"c kalus , p dadam",vldb,1995
89,query processing in tertiary memory databases,s sarawagi,vldb,1995
90,"agents , turst , and information access on the semantic web","t finin , a joshi",sigmod record,2002
91,methodology for development and employment of ontology based knowledge management applications,"y sure , s staab , r studer",sigmod record,2002
92,near neighbor search in large metric spaces,s brin,vldb,1995
93,scientific journals : extinction or explosion ? ( panel ),"r ramakrishnan , h garcia-molina , g rossbach , a silberschatz , g wiederhold , j zijlstra",vldb,1995
94,querying multiple bioinformatics data sources : can semantic web research help ?,"d buttler , m coleman , t critchlow , r fileto , w han , l liu , c pu , d rocco , l xiong",sigmod record,2002
95,the p operator : discovering and ranking associations on the semantic web,"k anyanwu , a sheth",sigmod record,2002
96,similarity based retrieval of pictures using indices on spatial relationships,"a sistla , c yu , c liu , k liu",vldb,1995
97,clustering validity checking methods : part ii,"m halkidi , y batistakis , m vazirgiannis",sigmod record,2002
98,providing database migration tools - a practicioner 's approach,a meier,vldb,1995
99,metrics for accessing heterogeneous data : is there any hope ? ( panel ),"l seligman , n belkin , e neuhold , m stonebraker , g wiederhold",vldb,1995
100,"very large databases : how large , how different ?",d vaskevitch,vldb,1995
101,book review column,k aberer,sigmod record,2002
102,a study on the management of semantic transaction for efficient data retrieval,"s huang , i kwan , c li",sigmod record,2002
103,promises and realities of active database systems,"e simon , a dittrich",vldb,1995
104,os support for vldbs : unix enhancements for the teradata data base,"j catozzi , s rabinovici",vldb,1995
105,parameterized complexity for the database theorist,m grohe,sigmod record,2002
106,managing a db2 parallel edition database,g fecteau,vldb,1995
107,research in information managment at dublin city university,"m roantree , a smeaton",sigmod record,2002
108,the oracle warehouse,g hallmark,vldb,1995
109,informix-online xps : a dynamically scalable rdbms for open parallel platforms,h spintzik,vldb,1995
110,report on the edbt '02 panel on scientific data integration,,,2002
111,supporting exceptions to schema consistency to ease schema evolution in oodbms,"e amiel , m bellosta , e dujardin , e simon",vldb,1994
112,wrapping web data into xml,"w han , d buttler , c pu",sigmod record,2001
113,on database theory and xml,d suciu,sigmod record,2001
114,naos - efficient and modular reactive capabilities in an object-oriented database system,"c collet , t coupaye , t svensen",vldb,1994
115,xquery formal semantics : state and challenges,p fankhauser,sigmod record,2001
116,towards automated performance tuning for complex workloads,"k brown , m mehta , m carey , m livny",vldb,1994
117,why and how to benchmark xml databases,"a schmidt , f waas , m kersten , d florescu , m carey , i manolescu , r busse",sigmod record,2001
118,query optimization by predicate move-around,"a levy , i mumick , y sagiv",vldb,1994
119,the evolution of effective b-tree : page organization and techniques : a personal account,d lomet,sigmod record,2001
120,optimization algorithms for exploiting the parallelism-communication tradeoff in pipelined parallelism,"w hasan , r motwani",vldb,1994
121,the ecobase project : database and web technologies for environmental information systems,"a tanaka , p valduriez",sigmod record,2001
122,some issues in design of distributed deductive databases,"m mohania , n sarda",vldb,1994
123,semantic integration in heterogeneous databases using neural networks,"w li , c clifton",vldb,1994
124,xml document versioning,"s chien , v tsotras , c zaniolo",sigmod record,2001
125,providing dynamic security control in a federated database,"n idris , w gray , r churchhouse",vldb,1994
126,"preservation of digital data with self-validating , self-instantiating knowledge-based archives","b ludфscher , r marciano , r moore",sigmod record,2001
127,implementing lazy database updates for an object database system,"f ferrandina , t meyer , r zicari",vldb,1994
128,towards event-driven modelling for database design,"m teisseire , p poncelet , r cicchetti",vldb,1994
129,reminiscences on influential papers,,,2001
130,"jeffrey d. ullman speaks out on the future of higher education , startups , database theory , and more",,,2001
131,new concurrency control algorithms for accessing and compacting b-trees,"v setzer , a zisman",vldb,1994
132,odefs : a file system interface to an object-oriented database,"n gehani , h jagadish , w roome",vldb,1994
133,indexing multiple sets,"c kilger , g moerkotte",vldb,1994
134,the hcc-tree : an efficient index structure for object oriented databases,"b sreenath , s seshadri",vldb,1994
135,performance of data-parallel spatial operations,"e hoel , h samet",vldb,1994
136,sql/xml and the sqlx informal group of companies,"a eisenberg , j melton",sigmod record,2001
137,the impact of global clustering on spatial database systems,"t brinkhoff , h kriegel",vldb,1994
138,java support for data-intensive systems : experiences building the telegraph dataflow system,"m shah , s madden , m franklin , j hellerstein",sigmod record,2001
139,a requirement-based approach to data modeling and re-engineering,"a muntz , c ramiller",vldb,1994
140,sql multimedia and application packages ( sql/mm ),"j melton , a eisenberg",sigmod record,2001
141,from nested-loop to join queries in oodb,"h steenhagen , p apers , h blanken , r by",vldb,1994
142,"composite events for active databases : semantics , contexts and detection","s chakravarthy , v krishnaprasad , e anwar , s kim",vldb,1994
143,a low-cost storage server for movie on demand databases,"b жzden , a biliris , r rastogi , a silberschatz",vldb,1994
144,content-based image indexing,t chiueh,vldb,1994
145,client-server paradise,"d dewitt , n kabra , j luo , j patel , j yu",vldb,1994
146,research in multi-organizational processes and semantic information brokering at the lsdis lab,"a sheth , j miller , k kochut , i arpinar",sigmod record,2001
147,on the academic interview circuit : an end-to-end discussion,u чetintemel,sigmod record,2001
148,cumulative updates,"s sripada , b wќthrich",vldb,1994
149,cache conscious algorithms for relational query processing,"a shatdal , c kant , j naughton",vldb,1994
150,challenges for global information systems,"a levy , a silberschatz , d srivastava , m zemankova",vldb,1994
151,continuous queries over data streams,"s babu , j widom",sigmod record,2001
152,data analysis and mining in the life sciences,n huyn,sigmod record,2001
153,building a laboratory information system around a c++ - based object-oriented dbms,"n goodman , s rozen , l stein",vldb,1994
154,a multidatabase system for tracking and retrieval of financial data,"m cochinwala , j bradley",vldb,1994
155,a general techniques for querying xml documents using a relational database system,"j shanmugasundaram , e shekita , j kiernan , r krishnamurthy , s viglas , j naughton , i tatarinov",sigmod record,2001
156,an overview of repository technology,"p bernstein , u dayal",vldb,1994
157,advanced xml data processing - guest editor 's introduction,k aberer,sigmod record,2001
158,data compression support in databases,"b iyer , d wilhite",vldb,1994
159,treasurer 's message,,,2001
160,an empirical performance study of the ingres search accelerator for a large property management database system,"s anand , d bell , j hughes",vldb,1994
161,data integration in the large : the challenge of reuse,"a rosenthal , l seligman",vldb,1994
162,career-enhancing services at sigmod online,"a labrinidis , a mendelzon",sigmod record,2001
163,experiments on access to digital libraries : how can images and text be used together,m lesk,vldb,1994
164,pc database systems - present and future,p bernstein,vldb,1994
165,data mining-based intrusion detectors : an overview of the columbia ids project,"s stolfo , w lee , p chan , w fan , e eskin",sigmod record,2001
166,distributed top-k monitoring,"b babcock , c olston",sigmod conference,2003
167,approximate join processing over data streams,"a das , j gehrke , m riedewald",sigmod conference,2003
168,adam : a testbed for exploring the use of data mining in intrusion detection,"d barbarс , j couto , s jajodia , n wu",sigmod record,2001
169,detection and classification of intrusions and faults using sequences of system calls,"j cabrera , l lewis , r mehra",sigmod record,2001
170,containment join size estimation : models and methods,"w wang , h jiang , h lu , j yu",sigmod conference,2003
171,relating distributed objects,"b martin , r cattell",vldb,1994
172,book review column,k aberer,sigmod record,2001
