id,title,length,artist,album,year,language
0,Daniel Balavoine - L'enfant aux yeux d'Italie,219,,De vous à elle en passant par moi,75,French
1,007,1m 58sec,[unknown],Cantigas de roda (unknown),null,Por.
2,Action PAINTING! - Mustard Gas,129,,There and Back Again Lane,95,English
3,Your Grace,unk.,Kathy Troccoli,Comfort,2005,English
4,Well You Needn't,321266,Ernie Stadler Jazz Quintet,First Down,2010,English
5,"Try (acoustic) - 2008-02-15: Le Grand Rex, Paris, France",,Neil Young,,,English
6,Bruce Maginnis - Sttreet Hype,177,,Groove City,05,English
7,Luce Dufault - Ballade à donner,242,,Luce Dufault,96,French
8,Just Like Tom Thumb's Blues (live),462000,Wendy Saddington,"Blues Women Anthology, Volume 7",2007,English
9,Στα καμένα,195000,Λαυρέντης Μαχαιρίίτσας,"Συλλογή Δίφωνο, 22: Μουσικοί βιότοποι",1997,Greek
10,,188400,Anathema,Alternative 4,1998,English
11,El Vaquero Chido (The Cool Cowboy),129000,Byron Brizuela & Enrique Carbajal,Mexico,,English
12,002-Particle/Wave,6m 21sec,Lunchbox,Evolver (2002),null,Eng.
13,001-Deja Vu,3m 36sec,Blanket,Nice (2000),null,ng.
14,019-Feeling Good,2m 55sec,Andy Bey and the Bey Sisters,Andy Bey and the Bey Sisters (2000),null,Eng.
15,"Scottish Fantasy: Adagio cantabile (The Classical Album, Volume 1)",04:04,Max Bruch,"The Classical Album, Volume 1",1996,
16,Marlene Dietrich - Wo ist der Mann?,188,,Die frühen Aufnahmen,,[Multiple languages]
17,00-1,3m 52sec,,(2010),null,Jap.
18,Gimme Dat (remix),263497,Rye Rye,RYEot powRR,2011,English
19,AmnerisIntro:EveryStoryIsaLoveStory/HeatherHeadley/It'sCheesy:EasyasLife(ForbiddenBroadway2001:ASpoofOdyssey(2001originaloffBroadwaycast)),03:39,Gerard Alessandrini,Forbidden Broadway 2001: A Spoof Odyssey (2001 original off-Broadway cast),2901,
20,Cállate - Los vaqueros: el regreso: Deluxe Edition,4.367,Wisin & Yandel,,'11,Spanish
21,Outro (Working Title),01:26,FeSo,Working Title,2011,
22,10cm,03:45,Anemone,10cm,2013,
23,Al Hirt - Tansy,145,,Greatest Hits,01,Engliish
24,Fish Tail Blues - The King & Mister Jelly Lord,3.085,Jelly Roll Morton,,'89,English
25,Clouseau - Anne,162,,"De Pre Historie 1989, Volume 3",00,[Multiple languages]
26,Tony Rice - Urge for Going,350,,Night Flyer,08,English
27,"Placebo Persuasion (More Specific, Less Pacific)",02:36,Caesura,"More Specific, Less Pacific",2002,
28,En dless Love,26 6000,Diana Ross & Lionel Richie,"Motown 50: Yesterday, Today, Forever (Japan Edition)",2008,English
29,011-,3m 41sec,,(1973),null,Heb.
30,"Tabu Recz - Du Ikk' Sej, Din Pik Er Ikk' Lang, Vi Skyder Dig",240,,Tabu Recz,,null
31,Tuning,78000,The Doros,Live in Vancouver 1970,2010,English
32,016-Action (interlude),0m 41sec,Hell,Teufelswerk (2009),null,Eng.
33,Lass Mich Nie Wieder Weinen (Denn Sie Fahren Hinaus Auf Das Meer),02:21,Peggy Brown,Denn Sie Fahren Hinaus Auf Das Meer,,
34,Thunder Underground,388826,Ozzy Osbourne,Ozzmosis,2002,English
35,Wayanay - Andes Cosmos,249,,Treasures Of The Incas (Andes Cosmos),,null
36,Special Feature Including A Hybrid Documentary,null,Hybrid,Morning_Sci-Fi,3,English
37,I could easily fall in love with you (Cuore matto),00:00,LittleTony,Cuore mattoo,1997,
38,Mu sõber tuul - Uus Laine,4.567,Laine,,'00,Estonian
39,Still in love with you (With This Ring… Forever I Do),04:36,Chris Willis,With This Ring… Forever I Do,2002,
40,007-A Tout A L'Heure,4m 0sec,Bibio,Ministry of Sound: Chillout Sessions XVI (2013),null,Eng.
41,CharlyGarcíaNobombardeenBuenosAires,242,,Oro: Grandes éxitos,03,Spanish
42,Lowland Trio - Van mij kan je de pot op,150,,Hollands Glorie: Lowland Trio,02,Dutch
43,Fried Bananas - Live at the Amsterdam Paradiso,12.3,Dexter Gordon,,'94,English
44,Power of Dreams - Sky,344,,Become Yourself,,English
45,Amikaeyla and Trelawny Rose - Wonderful World,333,,"To Eva, With Love",11,English
46,Style Talks (g) (link) (Swing of the City),00:09,Keith Mansfield,Swing of the City,,
47,闇に笑ふ,69000,服部隆之,スレイヤーズ: The Motion Picture,1995,Japanese
48,Praia nua (Ensaio - Signo de ar),04:57,Jorge Vercilo,Ensaio - Signo de ar,2005,
49,Starship Troopers (D-Bop's Saturday Nite radio edit) (Starship Troopers (feat. Sarah Brightman)),03:35,United Citizen Federation,Starship Troopers (feat. Sarah Brightman),,
50,hWeels of FIRE,230893,Saints & Sinners,Saints & Sinners,,
51,Bring Back the Love (Spaced Out dub),00:00,Laura Harris,Bring Back the Love,1998,
52,011-Dey Want Some,4m 12sec,"BeatKing feat. Slim Thug, Kirko Bangz & Bun B",Club God 2 (2012),null,Eng.
53,Bury Me (demo) - Finch,3.833,Finch,,'08,English
54,Charlie Walker,157533,Charlie Walker,Pick Me Up on Your Way Down,,
55,012-Lullabye,3m 51sec,null,lovetheonlyway (2002),null,Eng.
56,Jivin' (in a Jump Swing Band),287000,Kamikaze Mustang Pilot,Kamikaze Mustang Pilot,,English
57,It's a Heartache,210120,Bonnie Tyler,"Seventies Top 100, Volume 2",2008,English
58,Sinkhole - Wreck on the Highway,109,,Groping for Trout,92,English
59,Comme ça tu veux un gun ? Tu trouves ça l'fun !,201400,KC L.M.N.O.P.,Ta yeul…,1996,French
60,Implantation,92960,TOMOSUKE,GUITAR FREAKS 3rd Mix & drummania 2nd Mix soundtracks,2000,Japanese
61,Takin' My Time (Kiss My Amps Live),04:41,Tom Petty and the Heartbreakers,Kiss My Amps Live,2011,
62,Yo Quisiera Ser El Cóndor - Ya No Soy El Niño Aquel,5.025,Jerry Rivera,,'97,Spanish
63,Sea Breeze (full mix),30000,Burgo & David Haig,Massive - Rock/Pop,,Englih
64,Introduction et Variations sur une Ronde Populaire - Encore!,8.542,Gabriel Pierné,,'98,Engilsh
65,011-Der Weg Zum Licht,7m 9sec,Nihilistic Front,Mia Runa (2005),null,Eng.
66,"Vuelo (Frisvold & Lindbæk mix) (Remix You, Remix Me)",06:43,Skatebård,"Remix You, Remix Me",2010,
67,Le Marchand de Poisson - Planet Jazz,2.895,Sidney Bechet,,,[Multiple languages]
68,Selffish - Sound Judgement,319,,electronica@*.lv,03,English
69,Pitch Black (Rotten to the Core),05:17,X-Fusion,Rotten to the Core,2007,
70,Sam Cooke - You Send Me,163,,The Greatest Soul Collection,06,English
71,Domenico Modugno - La distania es como el viento,240,,Románticos Inolvidables Vol 2,,Spanish
72,,30000,Stephan Sechi,Funk,,English
73,"Mind 2 Motion - Bluffers Guide, Volume 6",4.722,Roots Manuva,,'05,English
74,Lark Daddy - Flip Flop,270,,Eleven Phases: Detroit Compilation,98,English
75,'Pines of Rome' - The Pines of the Villa Borghese (Debussy - La Mer & Respighi - Pines and Fountains of Rome - RCA LS 1995),02:42,Ottorino Respighi,Debussy - La Mer & Respighi - Pines and Fountains of Rome - RCA LS 1995,1995,
76,Ten Million Teardrops,195466,Jason McCoy,Honky Tonk Sonatas,2001,English
77,Who Dat Girl (Promise Land club mix),5.417,Flo Rida feat. Akon,Dat Girl,'10,English
78,020-Annemarie,1m 46sec,Feest Team,Apres Ski Safari: Vol 4 (2007),null,n.a.
79,005-Candy / All I Do Is Dream of You / Spring Is Here / 720 in the Books / It Happened in Monterey / What Can I Say After I Say I'm Sorry,6m 42sec,Ella Fitzgerald,30 by Ella (1999),null,Eng.
80,Uriah Heep - Southern Star,266,,Into the Wild,11,English
81,"June Is Bustin' Out All Over (For Hi-Fi Living, Volume 5: Love on Broadway)",02:40,Hill Bowen & His Orchestra,"For Hi-Fi Living, Volume 5: Love on Broadway",1957,
82,Guns N’ Roses - Estranged,681,,Revolution Calling,91,English
83,001-Berimbou,2m 23sec,Astrud Gilberto,Look to the Rainbow (2008),null,Eng.
84,Игорь Фёдорович Стравинский - Firebird: Finale (Philharmonia Orchestra feat. conductor: Esa-Pekka Salonen),188,,Ballet- Hits,95,English
85,"I Don't Want to Set the World on Fire - The Gals of the Big ""D"" Jamboree",2.642,Lovett Sisters,,'01,English
86,Got to Hurry (take 4) - The Yardbirds Story,2.609,Yardbirds,,'02,English
87,005-Al verte las flores lloran,2m 42sec,Camaron de la Isla,Una leyenda flamenca (1992),null,Spa.
88,006-My Pretty Pecker,unknown,Dr. Dre Del,Dr Dre Del's Mic of Defiance (1999),null,Eng.
89,The Handiest Frenchman in the Caribbean (Don't Stop the Carnival),00:50,Jimmy Buffett,Don't Stop the Carnival,1998,
90,006-Murder & Mayhem,6m 26sec,Noelle Hampton,Under  These Skies (unknown),null,E.
91,Apache (instrumental) (On Stage / In Studio),03:02,On Stage / In Studio,On Stage / In Studio,2012,
92,005-Put Me Back Together,2m 57sec,Drive Like You Stole It,Frequency (unknown),null,Eng.
93,Mindsweeping - Cinematograph,0.85,Scrooge,,'97,[Multiple languages]
94,011-Easter Processions: Hymne,2m 41sec,[religious music],The Inspiration f Gregorian Chant (1995),null,Lat.
95,Red Chips,330946,,The Working Model (Reverse),2003,English
96,Carbona -  1001 Doses (Até Você Voltar),151,,Taito Não Engole Fichas,03,Portuguese
97,Mi apuesta - Es,4.283,Eruca Sativa,,'10,Spanish
98,Dimitri From Paris - Nothing to Lose,297,,Sacrebleu,98,French
99,The Power of Love (Rob Searle club mix),08:40,Frankie Goes to Hollywood,The Power of Love,1990,
100,Tropical Dudes - Busybodies,227,,Tropical Monsters,08,English
101,005-Piranhes,5m 12sec,Rattler,Demo 2012 (unknown),null,Eng.
102,Uroš Rakovec Trio - Tako lepo bo,169,,Poganjki,09,null
103,War (Art of War),03:57,AG & Party Arty,Art of War War,2002,
104,Little for a Lot - Four Winds the Walker,4.359,Spires That in the Sunset Rise,,'05,English
105,The Solid Rock - World's Greatest Praise & Worship,3.1,Edward Mote & William B. Bradbury,,,English
106,003-Jayne,3m 37sec,Stereophonics,The Sunday Times: The State of Independence - V2 (2007),null,Eng.
107,La Fessée,267693,Georges Brassens,Volume 9 : Supplique pour être enterré à la plage de Sète,1967,French
108,Why Not - The Lizzi eMcGuire Movie,2.981,Hilary Duff,,' 03,English
109,001-Nation of Sorrow,unknown,Battle Zone,Arson Around With Matches (unknown),null,Eng.
110,Ronin on Air,181000,Younnat,Radiovision,,English
111,I'm Like a Lawyer With the Way I'm Always Trying to Get You Off (Me + You) (Now That's What I Call Music 26),03:35,FallOutBoy,Now That's What I Call Music 26,2008,
112,022-Over There Story,unknown,Kruger Brothers,Carolina Scrapbook (1999),null,
113,007-When Love Comes to Town,unknown,U2 & B.B. King,"1987-11-24: Tarrant County Convention Center, Fort Worth, TX, USA (unknown)",null,Enkg.
114,Пётр Ильич Чайковский - Pas d'action,623,,Dornröschen / Der Zauberladen,,null
115,"Acting (2005-04-02: The Spanish Moon, Baton Rouge, LA, USA)",04:25,Macrosick,"2005-04-02: The Spanish Moon, Baton Rouge, LA, USA",,
116,Molly Half Head - Vivid Whitsun,276,,Sulk,93,English
117,Nefes (live in Bodrum),420000,Telvin,Telvin,2006,Turkish
118,慈愛の言葉集/日常会話篇 - 「ハヤテのごとく!」 キャラクターCD 2,0.104,マリア starring 田中理恵,,'07,Japanese
119,001-Stronger Woman,4m 2sec,Jewel,Perfectly Clear (2008),null,Eng.
120,006-Turning,3m 21sec,Glass America,Fathom (unknown),null,Eng.
121,Sacred Spirit - Yane-Heja-Hee,290,,More Chants and Dances of the Native Americans,00,English
122,ホームワーク (オリジナル・カラオケ) (ANNIVERSARY〜無限にCALLING YOU),00:00,松任谷由実,ANNIVERSARY〜無限にCALLING YOU,1989,
