id,title,release,artist_name,duration,artist_familiarity,artist_hotttnesss,year
0,Just Another Woman,Singin' The Blues,Hot Lips Page,194.29832,0.427009595772,0.28974076939,0
1,Just Another Woman,50 Sublimes Chanteurs de Jazz: 1940 - 1953,Hot Lips Page,176.53506,0.427009595772,0.28974076939,0
2,Just Another Woman,Goin' Mad Blues Vol. 10,Hot Lips Page,174.70649,0.427009595772,0.28974076939,0
3,Pacey Singer,Third Hand Prophecy,A.Human,225.35791,0.533277968682,0.368353280457,2008
4,Pacey Singer,Pacey Singer,A.Human,381.33506,0.533277968682,0.368353280457,2008
5,Pacey Singer,Pacey Singer,A.Human,478.11873,0.533277968682,0.368353280457,2008
6,Pacey Singer,Pacey Singer,A.Human,212.29669,0.533277968682,0.368353280457,2008
7,Pacey Singer,Pacey Singer,A.Human,460.22485,0.533277968682,0.368353280457,2008
8,Pacey Singer,Pacey Singer,A.Human,276.40118,0.533277968682,0.368353280457,2008
9,Ring Road,Ring Road,Underworld,444.73424,0.751012252554,0.518324480349,2007
10,Ring Road,Global Gathering 2008,Underworld,440.34567,0.515954430503,0.354642831185,0
11,Ring Road,Ring Road,Underworld,344.58077,0.751012252554,0.518324480349,2007
12,Ring Road,Ring Road,Underworld,489.35138,0.751012252554,0.518324480349,2007
13,Ring Road,Ring Road,Underworld,273.50159,0.787087859744,0.518324480349,2007
14,Ring Road,Ring Road,Underworld,278.15138,0.751012252554,0.518324480349,2007
15,Ring Road,Oblivion With Bells,Underworld,273.55383,0.751012252554,0.518324480349,2007
16,LEsperanza,The Very Best of Euphoric Dance Breakdown 2009,Airscape,442.51383,0.50488694762,0.410731286419,0
17,L'Esperanza,Private Party_ Vol. 3,Airscape,376.52853,0.50488694762,0.410731286419,1999
18,L'Esperanza,LEsperanza,Airscape,179.61751,0.50488694762,0.410731286419,1999
19,L'Esperanza,LEsperanza,Airscape,505.83465,0.50488694762,0.410731286419,1999
20,LEsperanza,Dave Pearce Trance anthems 2010,Airscape,422.42567,0.50488694762,0.410731286419,0
21,L'Esperanza,LEsperanza,Airscape,440.05832,0.50488694762,0.410731286419,1999
22,L'Esperanza,LEsperanza,Airscape,671.7122,0.50488694762,0.410731286419,1999
23,Irreplaceable,Get Your Stereo Deluxed Vol. 6,The Funky Lowlives,245.28934,0.628756427536,0.417775071925,2002
24,Irreplaceable,Get Your Stereo Deluxed Vol. 4 compiled by DJ JONDAL & SHOW-B,The Funky Lowlives,334.68036,0.628756427536,0.417775071925,2002
25,Irreplaceable,Cartouche,The Funky Lowlives,336.50893,0.628756427536,0.417775071925,2002
26,Make Her Feel Good,Roc-A-Fella Records Presents Teairra Marí,Teairra Marí,226.06322,0.721520715185,0.446325881317,2005
27,Make Her Feel Good,R&B Collection,Teairra Marí,228.33587,0.721520715185,0.446325881317,2005
28,Make Her Feel Good,Def Jam 25_ Volume 13 - Cupid,Teairra Marí,225.90649,0.721520715185,0.446325881317,2005
29,She's Alright,Grown Up Wrong,The Real Kids,114.99057,0.484893131196,0.344871922171,1977
30,She's Alright,The Real Kids,The Real Kids,106.1873,0.484893131196,0.344871922171,1977
31,She's Alright,Better Be Good,The Real Kids,102.21669,0.484893131196,0.344871922171,1977
32,Your Heart's Not In It,The Very Best of Janie Fricke,Janie Fricke,178.6771,0.453085250099,0.382668086372,1993
33,Your Heart's Not In It,Janie Frickie - Super Hits,Janie Frickie,172.61669,0.453085250099,0.382668086372,1993
34,Your Hearts Not In It,Janie Fricke,Janie Frickie,170.60526,0.453085250099,0.382668086372,0
35,Your Heart's Not In It,It Ain't Easy Being Easy - Best Of,Janie Fricke,167.18322,0.453085250099,0.382668086372,1993
36,Willie Barcena,The Hot & Spicy Mamitas,Willie Barcena,302.34077,0.349587819368,0.319266429779,0
37,Willie Barcena,The Hot & Spicy Mamitas,Willie Barcena,52.00934,0.349587819368,0.319266429779,0
38,Willie Barcena,The Hot & Spicy Mamitas,Willie Barcena,58.20036,0.349587819368,0.319266429779,0
39,Willie Barcena,The Hot & Spicy Mamitas,Willie Barcena,33.64526,0.349587819368,0.319266429779,0
40,This Time It's Real,The Extended Mix,Miquel Brown,552.69832,0.455041378139,0.323539749592,0
41,This Time It's Real,Miquel Brown's The Easy Way Out,Miquel Brown,304.24771,0.455041378139,0.323539749592,0
42,This Time It's Real,So Many Men,Miquel Brown,305.6322,0.455041378139,0.323539749592,0
43,Tres Agujas,Del 63,Fito Paez,257.69751,0.65782688564,0.458730806359,1984
44,Tres Agujas,Cronica,Fito Paez,256.15628,0.65782688564,0.458730806359,1984
45,Tres Agujas,Fito X Fito,Fito Paez,258.40281,0.65782688564,0.458730806359,1984
46,Lucy,Lucy,Jealousy,465.21424,0.515557685898,0.309228462372,2006
47,Lucy,Lucy,Jealousy,210.75546,0.515557685898,0.264821121027,2006
48,Lucy,Lucy,Jealousy,347.58485,0.222356585222,0.309228462372,2006
49,Lucy,Lucy,Jealousy,488.61995,0.515557685898,0.264821121027,2006
50,Still...You Turn Me On,The Original Bootleg Series From The Manticore Vaults: Volume Four,Emerson_ Lake & Palmer,251.79383,0.700441995467,0.522819989978,2008
51,Still...You Turn Me On,The Ultimate Collection,Emerson_ Lake & Palmer,171.59791,0.700441995467,0.447247962709,2008
52,Still...You Turn Me On,Live At The Royal Albert Hall,Emerson_ Lake & Palmer,193.802,0.700441995467,0.447247962709,2008
53,Celebrate the Summer 2006,Celebrate the Summer 2006,Lacuna,334.54975,0.517224365806,0.35860624584,0
54,Celebrate the Summer 2006,Celebrate the Summer 2006,Lacuna,231.07873,0.517224365806,0.35860624584,0
55,Celebrate the Summer 2006,Celebrate the Summer (The Uk-Mixes),Lacuna,184.34567,0.517224365806,0.35860624584,0
56,Celebrate the Summer 2006,Celebrate the Summer 2006,Lacuna,179.06893,0.517224365806,0.35860624584,0
57,Don't Sleep,Don't Sleep,Audio Soul Project feat. Nathan Drew Larsen,608.07791,0.508309382324,0.323714618487,0
