new_ID,title,length,artist,album,year,language
0,Daniel Balavoine - L'enfant aux yeux d'Italie,219,,De vous à elle en passant par moi,75,French
1,007,1m 58sec,[unknown],Cantigas de roda (unknown),,Por.
2,Action PAINTING! - Mustard Gas,129,,There and Back Again Lane,95,English
3,Luce Dufault - Ballade à donner,242,,Luce Dufault,96,French
4,Just Like Tom Thumb's Blues (live),462000,Wendy Saddington,"Blues Women Anthology, Volume 7",2007,English
5,,188400,Anathema,Alternative 4,1998,English
6,El Vaquero Chido (The Cool Cowboy),129000,Byron Brizuela & Enrique Carbajal,Mexico,,English
7,002-Particle/Wave,6m 21sec,Lunchbox,Evolver (2002),,Eng.
8,001-Deja Vu,3m 36sec,Blanket,Nice (2000),,ng.
9,019-Feeling Good,2m 55sec,Andy Bey and the Bey Sisters,Andy Bey and the Bey Sisters (2000),,Eng.
10,Marlene Dietrich - Wo ist der Mann?,188,,Die frühen Aufnahmen,,[Multiple languages]
11,00-1,3m 52sec,,(2010),,Jap.
12,Gimme Dat (remix),263497,Rye Rye,RYEot powRR,2011,English
13,Cállate - Los vaqueros: el regreso: Deluxe Edition,4.367,Wisin & Yandel,,'11,Spanish
14,Outro (Working Title),01:26,FeSo,Working Title,2011,
15,Al Hirt - Tansy,145,,Greatest Hits,01,Engliish
16,Fish Tail Blues - The King & Mister Jelly Lord,3.085,Jelly Roll Morton,,'89,English
17,Clouseau - Anne,162,,"De Pre Historie 1989, Volume 3",00,[Multiple languages]
18,Tony Rice - Urge for Going,350,,Night Flyer,08,English
19,Tuning,78000,The Doros,Live in Vancouver 1970,2010,English
20,016-Action (interlude),0m 41sec,Hell,Teufelswerk (2009),,Eng.
21,Lass Mich Nie Wieder Weinen (Denn Sie Fahren Hinaus Auf Das Meer),02:21,Peggy Brown,Denn Sie Fahren Hinaus Auf Das Meer,,
22,Wayanay - Andes Cosmos,249,,Treasures Of The Incas (Andes Cosmos),,
23,Special Feature Including A Hybrid Documentary,,Hybrid,Morning_Sci-Fi,3,English
24,I could easily fall in love with you (Cuore matto),00:00,LittleTony,Cuore mattoo,1997,
25,Still in love with you (With This Ring… Forever I Do),04:36,Chris Willis,With This Ring… Forever I Do,2002,
26,007-A Tout A L'Heure,4m 0sec,Bibio,Ministry of Sound: Chillout Sessions XVI (2013),,Eng.
27,Lowland Trio - Van mij kan je de pot op,150,,Hollands Glorie: Lowland Trio,02,Dutch
28,Power of Dreams - Sky,344,,Become Yourself,,English
29,Amikaeyla and Trelawny Rose - Wonderful World,333,,"To Eva, With Love",11,English
30,闇に笑ふ,69000,服部隆之,スレイヤーズ: The Motion Picture,1995,Japanese
31,Praia nua (Ensaio - Signo de ar),04:57,Jorge Vercilo,Ensaio - Signo de ar,2005,
32,Starship Troopers (D-Bop's Saturday Nite radio edit) (Starship Troopers (feat. Sarah Brightman)),03:35,United Citizen Federation,Starship Troopers (feat. Sarah Brightman),,
33,011-Dey Want Some,4m 12sec,"BeatKing feat. Slim Thug, Kirko Bangz & Bun B",Club God 2 (2012),,Eng.
34,Jivin' (in a Jump Swing Band),287000,Kamikaze Mustang Pilot,Kamikaze Mustang Pilot,,English
35,Sinkhole - Wreck on the Highway,109,,Groping for Trout,92,English
36,Implantation,92960,TOMOSUKE,GUITAR FREAKS 3rd Mix & drummania 2nd Mix soundtracks,2000,Japanese
37,Takin' My Time (Kiss My Amps Live),04:41,Tom Petty and the Heartbreakers,Kiss My Amps Live,2011,
38,Yo Quisiera Ser El Cóndor - Ya No Soy El Niño Aquel,5.025,Jerry Rivera,,'97,Spanish
39,Introduction et Variations sur une Ronde Populaire - Encore!,8.542,Gabriel Pierné,,'98,Engilsh
40,"Vuelo (Frisvold & Lindbæk mix) (Remix You, Remix Me)",06:43,Skatebård,"Remix You, Remix Me",2010,
41,Pitch Black (Rotten to the Core),05:17,X-Fusion,Rotten to the Core,2007,
42,Sam Cooke - You Send Me,163,,The Greatest Soul Collection,06,English
43,Domenico Modugno - La distania es como el viento,240,,Románticos Inolvidables Vol 2,,Spanish
44,,30000,Stephan Sechi,Funk,,English
45,Lark Daddy - Flip Flop,270,,Eleven Phases: Detroit Compilation,98,English
46,'Pines of Rome' - The Pines of the Villa Borghese (Debussy - La Mer & Respighi - Pines and Fountains of Rome - RCA LS 1995),02:42,Ottorino Respighi,Debussy - La Mer & Respighi - Pines and Fountains of Rome - RCA LS 1995,1995,
47,020-Annemarie,1m 46sec,Feest Team,Apres Ski Safari: Vol 4 (2007),,n.a.
48,005-Candy / All I Do Is Dream of You / Spring Is Here / 720 in the Books / It Happened in Monterey / What Can I Say After I Say I'm Sorry,6m 42sec,Ella Fitzgerald,30 by Ella (1999),,Eng.
49,Uriah Heep - Southern Star,266,,Into the Wild,11,English
50,"June Is Bustin' Out All Over (For Hi-Fi Living, Volume 5: Love on Broadway)",02:40,Hill Bowen & His Orchestra,"For Hi-Fi Living, Volume 5: Love on Broadway",1957,
51,Guns N’ Roses - Estranged,681,,Revolution Calling,91,English
52,001-Berimbou,2m 23sec,Astrud Gilberto,Look to the Rainbow (2008),,Eng.
53,Игорь Фёдорович Стравинский - Firebird: Finale (Philharmonia Orchestra feat. conductor: Esa-Pekka Salonen),188,,Ballet- Hits,95,English
54,Got to Hurry (take 4) - The Yardbirds Story,2.609,Yardbirds,,'02,English
55,Apache (instrumental) (On Stage / In Studio),03:02,On Stage / In Studio,On Stage / In Studio,2012,
56,Mindsweeping - Cinematograph,0.85,Scrooge,,'97,[Multiple languages]
57,Red Chips,330946,,The Working Model (Reverse),2003,English
58,Carbona -  1001 Doses (Até Você Voltar),151,,Taito Não Engole Fichas,03,Portuguese
59,Mi apuesta - Es,4.283,Eruca Sativa,,'10,Spanish
60,The Power of Love (Rob Searle club mix),08:40,Frankie Goes to Hollywood,The Power of Love,1990,
61,Uroš Rakovec Trio - Tako lepo bo,169,,Poganjki,09,
